Contiguous U.S., Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,65.57,0.71
189609,62.94,-1.92
189709,66.4,1.54
189809,65.46,0.60
189909,64.8,-0.06
190009,65.14,0.28
190109,63.25,-1.61
190209,62.76,-2.10
190309,62.73,-2.13
190409,64.96,0.10
190509,65.95,1.09
190609,66.25,1.39
190709,64.22,-0.64
190809,65.59,0.73
190909,64.4,-0.46
191009,65.68,0.82
191109,66.09,1.23
191209,62.73,-2.13
191309,63.64,-1.22
191409,64.58,-0.28
191509,64.42,-0.44
191609,63.5,-1.36
191709,64.09,-0.77
191809,61.92,-2.94
191909,65.64,0.78
192009,65.44,0.58
192109,66.54,1.68
192209,67.28,2.42
192309,65.07,0.21
192409,62.74,-2.12
192509,66.67,1.81
192609,64.11,-0.75
192709,64.98,0.12
192809,63.27,-1.59
192909,63.41,-1.45
193009,65.75,0.89
193109,68.13,3.27
193209,64.69,-0.17
193309,67.73,2.87
193409,63.84,-1.02
193509,64.8,-0.06
193609,66.36,1.50
193709,65.7,0.84
193809,66.63,1.77
193909,67.37,2.51
194009,65.35,0.49
194109,64.53,-0.33
194209,63.66,-1.20
194309,64.33,-0.53
194409,65.26,0.40
194509,64.99,0.13
194609,64.54,-0.32
194709,66.54,1.68
194809,66.07,1.21
194909,63.73,-1.13
195009,63.5,-1.36
195109,64.09,-0.77
195209,65.89,1.03
195309,66.16,1.30
195409,66.45,1.59
195509,65.88,1.02
195609,65.1,0.24
195709,64.18,-0.68
195809,65.43,0.57
195909,64.74,-0.12
196009,66.45,1.59
196109,63.41,-1.45
196209,64.18,-0.68
196309,66.34,1.48
196409,63.7,-1.16
196509,61.77,-3.09
196609,64.54,-0.32
196709,64.06,-0.80
196809,63.9,-0.96
196909,65.55,0.69
197009,64.58,-0.28
197109,64.33,-0.53
197209,64.44,-0.42
197309,64.4,-0.46
197409,62.31,-2.55
197509,62.89,-1.97
197609,64.18,-0.68
197709,65.93,1.07
197809,65.84,0.98
197909,66.09,1.23
198009,66.24,1.38
198109,64.92,0.06
198209,64.04,-0.82
198309,65.59,0.73
198409,63.14,-1.72
198509,62.73,-2.13
198609,63.7,-1.16
198709,65.25,0.39
198809,64.6,-0.26
198909,64.08,-0.78
199009,67.35,2.49
199109,64.9,0.04
199209,64.67,-0.19
199309,63.3,-1.56
199409,65.55,0.69
199509,64.69,-0.17
199609,63.46,-1.40
199709,66.42,1.56
199809,68.99,4.13
199909,64.35,-0.51
200009,65.57,0.71
200109,65.7,0.84
200209,66.85,1.99
200309,64.96,0.10
200409,65.66,0.80
200509,67.37,2.51
200609,63.3,-1.56
200709,66.43,1.57
200809,65.21,0.35
200909,66.38,1.52
201009,66.49,1.63
201109,66.09,1.23
201209,66.31,1.45
201309,66.96,2.10
201409,66.2,1.34
201509,68.52,3.66
