Contiguous U.S., Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,71.24,-2.37
189607,73.69,0.08
189707,73.36,-0.25
189807,73.29,-0.32
189907,73.08,-0.53
190007,73.13,-0.48
190107,76.24,2.63
190207,72.05,-1.56
190307,71.92,-1.69
190407,71.35,-2.26
190507,71.98,-1.63
190607,72.36,-1.25
190707,72.52,-1.09
190807,73.18,-0.43
190907,72.63,-0.98
191007,74.12,0.51
191107,72.68,-0.93
191207,72.25,-1.36
191307,73,-0.61
191407,74.08,0.47
191507,71.01,-2.60
191607,74.28,0.67
191707,74.61,1.00
191807,72.45,-1.16
191907,74.35,0.74
192007,72.7,-0.91
192107,74.66,1.05
192207,73,-0.61
192307,73.76,0.15
192407,71.89,-1.72
192507,74.14,0.53
192607,73.36,-0.25
192707,72.68,-0.93
192807,73.4,-0.21
192907,73.6,-0.01
193007,75.04,1.43
193107,75.81,2.20
193207,74.1,0.49
193307,75.13,1.52
193407,76.37,2.76
193507,75.13,1.52
193607,76.8,3.19
193707,74.59,0.98
193807,73.78,0.17
193907,74.88,1.27
194007,74.14,0.53
194107,73.98,0.37
194207,73.96,0.35
194307,74.26,0.65
194407,72.79,-0.82
194507,72.93,-0.68
194607,73.85,0.24
194707,72.81,-0.80
194807,73.26,-0.35
194907,74.21,0.60
195007,71.22,-2.39
195107,73.69,0.08
195207,74.1,0.49
195307,74.17,0.56
195407,75.47,1.86
195507,74.44,0.83
195607,73.06,-0.55
195707,74.28,0.67
195807,72.63,-0.98
195907,73.58,-0.03
196007,73.89,0.28
196107,73.24,-0.37
196207,72.07,-1.54
196307,73.6,-0.01
196407,74.66,1.05
196507,72.61,-1.00
196607,75.07,1.46
196707,72.52,-1.09
196807,72.86,-0.75
196907,74.1,0.49
197007,73.96,0.35
197107,72.36,-1.25
197207,72.18,-1.43
197307,73.26,-0.35
197407,74.08,0.47
197507,73.56,-0.05
197607,72.9,-0.71
197707,74.43,0.82
197807,73.8,0.19
197907,73.13,-0.48
198007,75.76,2.15
198107,73.96,0.35
198207,73.2,-0.41
198307,73.99,0.38
198407,73.17,-0.44
198507,74.05,0.44
198607,73.51,-0.10
198707,73.27,-0.34
198807,74.79,1.18
198907,74.23,0.62
199007,73.26,-0.35
199107,73.89,0.28
199207,71.22,-2.39
199307,72.16,-1.45
199407,73.62,0.01
199507,73.54,-0.07
199607,73.63,0.02
199707,73.18,-0.43
199807,75.49,1.88
199907,74.3,0.69
200007,73.87,0.26
200107,74.48,0.87
200207,75.85,2.24
200307,75.47,1.86
200407,72.9,-0.71
200507,75.31,1.70
200607,76.41,2.80
200707,74.7,1.09
200807,74.08,0.47
200907,72.63,-0.98
201007,74.71,1.10
201107,76.14,2.53
201207,76.77,3.16
201307,74.21,0.60
201407,73.29,-0.32
201507,73.92,0.31
