Illinois, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,2.08,-1.64
189604,2.8,-0.92
189704,4.28,0.56
189804,3.23,-0.49
189904,1.54,-2.18
190004,1.51,-2.21
190104,1.61,-2.11
190204,2.41,-1.31
190304,4.25,0.53
190404,3.76,0.04
190504,3.64,-0.08
190604,2.09,-1.63
190704,2.79,-0.93
190804,4.49,0.77
190904,6.09,2.37
191004,3.35,-0.37
191104,4.83,1.11
191204,4.86,1.14
191304,2.81,-0.91
191404,2.21,-1.51
191504,1.38,-2.34
191604,1.66,-2.06
191704,4.61,0.89
191804,5.29,1.57
191904,2.42,-1.30
192004,4.49,0.77
192104,4.73,1.01
192204,5.07,1.35
192304,2.36,-1.36
192404,2.16,-1.56
192504,2.62,-1.10
192604,3.06,-0.66
192704,6.87,3.15
192804,3.23,-0.49
192904,5.35,1.63
193004,2.74,-0.98
193104,2.67,-1.05
193204,1.8,-1.92
193304,3.53,-0.19
193404,1.72,-2.00
193504,2.56,-1.16
193604,2.4,-1.32
193704,4.83,1.11
193804,3.12,-0.60
193904,4.94,1.22
194004,3.95,0.23
194104,3.81,0.09
194204,2.52,-1.20
194304,3.69,-0.03
194404,6.44,2.72
194504,5.24,1.52
194604,1.9,-1.82
194704,6.38,2.66
194804,2.03,-1.69
194904,1.75,-1.97
195004,5.3,1.58
195104,3.41,-0.31
195204,3.66,-0.06
195304,2.87,-0.85
195404,4.18,0.46
195504,3.98,0.26
195604,3.46,-0.26
195704,6.99,3.27
195804,2.83,-0.89
195904,3.15,-0.57
196004,3.48,-0.24
196104,3.29,-0.43
196204,1.86,-1.86
196304,2.83,-0.89
196404,5.69,1.97
196504,4.81,1.09
196604,5.32,1.60
196704,4.46,0.74
196804,3.24,-0.48
196904,4.26,0.54
197004,5.9,2.18
197104,1.29,-2.43
197204,5.53,1.81
197304,5.8,2.08
197404,3.93,0.21
197504,4.28,0.56
197604,2.66,-1.06
197704,2,-1.72
197804,3.67,-0.05
197904,5.84,2.12
198004,2.43,-1.29
198104,5.04,1.32
198204,3.19,-0.53
198304,6.16,2.44
198404,4.96,1.24
198504,2.19,-1.53
198604,1.88,-1.84
198704,2.52,-1.20
198804,1.84,-1.88
198904,3.19,-0.53
199004,2.85,-0.87
199104,3.38,-0.34
199204,2.93,-0.79
199304,5.13,1.41
199404,6.14,2.42
199504,4.47,0.75
199604,5.03,1.31
199704,2.26,-1.46
199804,4.93,1.21
199904,5.53,1.81
200004,2.99,-0.73
200104,2.84,-0.88
200204,5.11,1.39
200304,3.18,-0.54
200404,1.8,-1.92
200504,2.57,-1.15
200604,3.79,0.07
200704,3.52,-0.20
200804,4.34,0.62
200904,6.16,2.44
201004,3.36,-0.36
201104,7.62,3.90
201204,3.13,-0.59
201304,6.93,3.21
201404,5.15,1.43
201504,3.42,-0.30
