North Dakota, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,4.2,0.77
189606,3.79,0.36
189706,3.67,0.24
189806,3.41,-0.02
189906,3.62,0.19
190006,1.26,-2.17
190106,6.38,2.95
190206,4,0.57
190306,1.66,-1.77
190406,5.67,2.24
190506,4.6,1.17
190606,4.41,0.98
190706,2.75,-0.68
190806,3.49,0.06
190906,3.13,-0.30
191006,1.96,-1.47
191106,3.2,-0.23
191206,2.14,-1.29
191306,2.52,-0.91
191406,6.4,2.97
191506,5.09,1.66
191606,3.88,0.45
191706,2.06,-1.37
191806,1.75,-1.68
191906,2.26,-1.17
192006,3.56,0.13
192106,3.51,0.08
192206,3.68,0.25
192306,3.89,0.46
192406,4.36,0.93
192506,5.66,2.23
192606,2.55,-0.88
192706,2.69,-0.74
192806,4.98,1.55
192906,1.4,-2.03
193006,3.03,-0.40
193106,2.34,-1.09
193206,3.99,0.56
193306,1.8,-1.63
193406,3.08,-0.35
193506,3.04,-0.39
193606,1.36,-2.07
193706,4.31,0.88
193806,2.86,-0.57
193906,4.73,1.30
194006,2.27,-1.16
194106,5.47,2.04
194206,3.21,-0.22
194306,5.17,1.74
194406,6.43,3.00
194506,2.47,-0.96
194606,3.17,-0.26
194706,5.63,2.20
194806,3.08,-0.35
194906,2.55,-0.88
195006,3.14,-0.29
195106,2.92,-0.51
195206,3.12,-0.31
195306,5.41,1.98
195406,4.85,1.42
195506,3.38,-0.05
195606,3.28,-0.15
195706,3.92,0.49
195806,3.27,-0.16
195906,3.03,-0.40
196006,2.71,-0.72
196106,1.38,-2.05
196206,3.13,-0.30
196306,4.11,0.68
196406,6.22,2.79
196506,2.92,-0.51
196606,3.61,0.18
196706,2.17,-1.26
196806,4.05,0.62
196906,4.16,0.73
197006,2.88,-0.55
197106,4.94,1.51
197206,2.21,-1.22
197306,2.91,-0.52
197406,1.11,-2.32
197506,5.49,2.06
197606,3.72,0.29
197706,2.98,-0.45
197806,3.31,-0.12
197906,2.28,-1.15
198006,2.92,-0.51
198106,3.96,0.53
198206,3.18,-0.25
198306,2.92,-0.51
198406,3.82,0.39
198506,2.38,-1.05
198606,2.49,-0.94
198706,1.76,-1.67
198806,1.85,-1.58
198906,1.98,-1.45
199006,4.83,1.40
199106,4.34,0.91
199206,2.87,-0.56
199306,5.21,1.78
199406,3.75,0.32
199506,2.19,-1.24
199606,2.8,-0.63
199706,2.43,-1.00
199806,4.16,0.73
199906,3,-0.43
200006,4.13,0.70
200106,4.2,0.77
200206,3.44,0.01
200306,3.23,-0.20
200406,2.24,-1.19
200506,7.01,3.58
200606,1.64,-1.79
200706,3.69,0.26
200806,4.11,0.68
200906,2.97,-0.46
201006,3.61,0.18
201106,3.89,0.46
201206,2.62,-0.81
201306,3.69,0.26
201406,4.75,1.32
201506,3.65,0.22
