Nebraska, Precipitation, October
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189510,.19,-1.23
189610,1.71,0.29
189710,2.92,1.50
189810,.79,-0.63
189910,.94,-0.48
190010,1.73,0.31
190110,1.61,0.19
190210,1.74,0.32
190310,1.21,-0.21
190410,2.5,1.08
190510,1.26,-0.16
190610,2.75,1.33
190710,.53,-0.89
190810,2.8,1.38
190910,1.09,-0.33
191010,.63,-0.79
191110,3.18,1.76
191210,1.56,0.14
191310,.55,-0.87
191410,1.47,0.05
191510,1.31,-0.11
191610,1.07,-0.35
191710,.35,-1.07
191810,2.52,1.10
191910,1.83,0.41
192010,2.04,0.62
192110,1.21,-0.21
192210,.59,-0.83
192310,1.83,0.41
192410,1.03,-0.39
192510,1.71,0.29
192610,1.03,-0.39
192710,.61,-0.81
192810,2.64,1.22
192910,2.86,1.44
193010,2.79,1.37
193110,1.11,-0.31
193210,1.21,-0.21
193310,.06,-1.36
193410,.86,-0.56
193510,.74,-0.68
193610,.38,-1.04
193710,1.56,0.14
193810,.16,-1.26
193910,.79,-0.63
194010,1.49,0.07
194110,2.01,0.59
194210,.83,-0.59
194310,1.28,-0.14
194410,.79,-0.63
194510,.2,-1.22
194610,4.08,2.66
194710,1.16,-0.26
194810,.96,-0.46
194910,1.75,0.33
195010,1.07,-0.35
195110,1.6,0.18
195210,.16,-1.26
195310,1.03,-0.39
195410,1.67,0.25
195510,.38,-1.04
195610,1,-0.42
195710,2.19,0.77
195810,.15,-1.27
195910,2.22,0.80
196010,.83,-0.59
196110,.93,-0.49
196210,1.32,-0.10
196310,.7,-0.72
196410,.15,-1.27
196510,1.11,-0.31
196610,.84,-0.58
196710,1.08,-0.34
196810,2.5,1.08
196910,3.27,1.85
197010,1.92,0.50
197110,2.25,0.83
197210,1.18,-0.24
197310,1.82,0.40
197410,1.21,-0.21
197510,.29,-1.13
197610,.63,-0.79
197710,1.45,0.03
197810,.61,-0.81
197910,2.58,1.16
198010,1.33,-0.09
198110,1.26,-0.16
198210,2.72,1.30
198310,1.2,-0.22
198410,2.97,1.55
198510,1.38,-0.04
198610,2.73,1.31
198710,.62,-0.80
198810,.1,-1.32
198910,.57,-0.85
199010,1.27,-0.15
199110,1.44,0.02
199210,1.81,0.39
199310,1.67,0.25
199410,2.25,0.83
199510,1.89,0.47
199610,.81,-0.61
199710,3.06,1.64
199810,2.93,1.51
199910,.13,-1.29
200010,2.35,0.93
200110,1.09,-0.33
200210,2.63,1.21
200310,.75,-0.67
200410,1.2,-0.22
200510,1.5,0.08
200610,1.03,-0.39
200710,3.08,1.66
200810,4.42,3.00
200910,3.74,2.32
201010,.92,-0.50
201110,1.92,0.50
201210,.88,-0.54
201310,2.8,1.38
201410,1.34,-0.08
201510,1.43,0.01
