Connecticut, Precipitation, July
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189507,4.4,0.49
189607,3.36,-0.55
189707,11.27,7.36
189807,4.84,0.93
189907,5.31,1.40
190007,3.2,-0.71
190107,5.2,1.29
190207,4.93,1.02
190307,3.41,-0.50
190407,2.85,-1.06
190507,3.11,-0.80
190607,5.3,1.39
190707,1.73,-2.18
190807,4.75,0.84
190907,1.8,-2.11
191007,2.34,-1.57
191107,3.1,-0.81
191207,2.87,-1.04
191307,2.1,-1.81
191407,4.02,0.11
191507,6.37,2.46
191607,7.1,3.19
191707,3.01,-0.90
191807,3.7,-0.21
191907,5.01,1.10
192007,5,1.09
192107,5.13,1.22
192207,5.18,1.27
192307,3.07,-0.84
192407,1.6,-2.31
192507,5.49,1.58
192607,3.66,-0.25
192707,4.97,1.06
192807,6.32,2.41
192907,1.61,-2.30
193007,2.77,-1.14
193107,3.41,-0.50
193207,3.38,-0.53
193307,2.32,-1.59
193407,2.77,-1.14
193507,4.24,0.33
193607,2.43,-1.48
193707,3.71,-0.20
193807,9.86,5.95
193907,1.74,-2.17
194007,3.55,-0.36
194107,5.64,1.73
194207,5.6,1.69
194307,3.6,-0.31
194407,2.21,-1.70
194507,5.23,1.32
194607,4.41,0.50
194707,4.21,0.30
194807,3.39,-0.52
194907,2.82,-1.09
195007,3.56,-0.35
195107,3,-0.91
195207,2.89,-1.02
195307,4.56,0.65
195407,2.95,-0.96
195507,2.47,-1.44
195607,4.92,1.01
195707,2.42,-1.49
195807,4.82,0.91
195907,4.85,0.94
196007,7.11,3.20
196107,2.89,-1.02
196207,2.02,-1.89
196307,4.29,0.38
196407,3.26,-0.65
196507,2.72,-1.19
196607,2.54,-1.37
196707,4.23,0.32
196807,1.2,-2.71
196907,6.4,2.49
197007,1.86,-2.05
197107,5.18,1.27
197207,3.39,-0.52
197307,4.15,0.24
197407,2.86,-1.05
197507,6.22,2.31
197607,4.12,0.21
197707,2.62,-1.29
197807,3.71,-0.20
197907,2.29,-1.62
198007,4.75,0.84
198107,4.14,0.23
198207,2.76,-1.15
198307,1.86,-2.05
198407,6.64,2.73
198507,4.61,0.70
198607,5.65,1.74
198707,1.91,-2.00
198807,7.3,3.39
198907,4.59,0.68
199007,3.38,-0.53
199107,3.14,-0.77
199207,4.61,0.70
199307,3.09,-0.82
199407,4.36,0.45
199507,3.15,-0.76
199607,7.05,3.14
199707,3.82,-0.09
199807,3.62,-0.29
199907,2.42,-1.49
200007,6.23,2.32
200107,2.19,-1.72
200207,2.59,-1.32
200307,3.01,-0.90
200407,4.54,0.63
200507,3.62,-0.29
200607,3.15,-0.76
200707,4.94,1.03
200807,5.66,1.75
200907,8.82,4.91
201007,3.53,-0.38
201107,2.17,-1.74
201207,3.78,-0.13
201307,3.67,-0.24
201407,4.84,0.93
201507,2.81,-1.10
