Pennsylvania, Precipitation, July
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189507,3.08,-1.11
189607,6.52,2.33
189707,5.84,1.65
189807,3.28,-0.91
189907,3.75,-0.44
190007,4.74,0.55
190107,4.05,-0.14
190207,6.42,2.23
190307,5.25,1.06
190407,5.09,0.90
190507,5.36,1.17
190607,4.16,-0.03
190707,3.74,-0.45
190807,4.74,0.55
190907,1.9,-2.29
191007,2.49,-1.70
191107,2.74,-1.45
191207,5.46,1.27
191307,4.15,-0.04
191407,3.8,-0.39
191507,5.38,1.19
191607,4.16,-0.03
191707,4.3,0.11
191807,3.02,-1.17
191907,5.43,1.24
192007,4.6,0.41
192107,4.28,0.09
192207,3.58,-0.61
192307,4.26,0.07
192407,3.45,-0.74
192507,5.36,1.17
192607,3.62,-0.57
192707,4.85,0.66
192807,5.38,1.19
192907,3.05,-1.14
193007,2.18,-2.01
193107,5.23,1.04
193207,3.48,-0.71
193307,4.28,0.09
193407,4,-0.19
193507,5.81,1.62
193607,2.88,-1.31
193707,4.25,0.06
193807,4.64,0.45
193907,3.34,-0.85
194007,3.37,-0.82
194107,5.03,0.84
194207,5.35,1.16
194307,4.43,0.24
194407,2.49,-1.70
194507,5.65,1.46
194607,3.94,-0.25
194707,6.07,1.88
194807,3.99,-0.20
194907,5.1,0.91
195007,4.8,0.61
195107,4.05,-0.14
195207,4.35,0.16
195307,3.5,-0.69
195407,2.49,-1.70
195507,2.57,-1.62
195607,6.12,1.93
195707,2.32,-1.87
195807,6.37,2.18
195907,4.24,0.05
196007,4.67,0.48
196107,4.83,0.64
196207,2.49,-1.70
196307,3.34,-0.85
196407,3.62,-0.57
196507,2.51,-1.68
196607,2.37,-1.82
196707,5.52,1.33
196807,1.99,-2.20
196907,6.5,2.31
197007,5.33,1.14
197107,4.37,0.18
197207,3.5,-0.69
197307,3.18,-1.01
197407,3.87,-0.32
197507,3.81,-0.38
197607,4.38,0.19
197707,5.57,1.38
197807,4.04,-0.15
197907,4.32,0.13
198007,4.52,0.33
198107,4.46,0.27
198207,3.15,-1.04
198307,2.24,-1.95
198407,5.19,1.00
198507,4.59,0.40
198607,5.35,1.16
198707,4.11,-0.08
198807,5.03,0.84
198907,4.66,0.47
199007,5.22,1.03
199107,3.47,-0.72
199207,7.14,2.95
199307,3.26,-0.93
199407,4.44,0.25
199507,3.54,-0.65
199607,5.92,1.73
199707,2.85,-1.34
199807,2.87,-1.32
199907,2.62,-1.57
200007,3.34,-0.85
200107,2.74,-1.45
200207,2.31,-1.88
200307,5.64,1.45
200407,7.1,2.91
200507,4.28,0.09
200607,5.08,0.89
200707,3.4,-0.79
200807,4.43,0.24
200907,4.97,0.78
201007,4.64,0.45
201107,2.98,-1.21
201207,4.73,0.54
201307,5.09,0.90
201407,4.53,0.34
201507,4.34,0.15
