Arizona, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.53,-0.62
189602,.22,-0.93
189702,1,-0.15
189802,.15,-1.00
189902,.42,-0.73
190002,.25,-0.90
190102,2.36,1.21
190202,.37,-0.78
190302,1,-0.15
190402,.49,-0.66
190502,4.44,3.29
190602,1.2,0.05
190702,.76,-0.39
190802,2.47,1.32
190902,1.34,0.19
191002,.13,-1.02
191102,1.75,0.60
191202,.19,-0.96
191302,2.44,1.29
191402,1.12,-0.03
191502,1.97,0.82
191602,.55,-0.60
191702,.85,-0.30
191802,1.02,-0.13
191902,1.41,0.26
192002,2.71,1.56
192102,.33,-0.82
192202,.58,-0.57
192302,.87,-0.28
192402,.05,-1.10
192502,.29,-0.86
192602,.59,-0.56
192702,2.45,1.30
192802,1.71,0.56
192902,.7,-0.45
193002,.39,-0.76
193102,3.27,2.12
193202,2.63,1.48
193302,.61,-0.54
193402,.76,-0.39
193502,2.07,0.92
193602,1.65,0.50
193702,1.34,0.19
193802,1.59,0.44
193902,1.08,-0.07
194002,1.72,0.57
194102,2.11,0.96
194202,.98,-0.17
194302,.51,-0.64
194402,2.16,1.01
194502,.54,-0.61
194602,.21,-0.94
194702,.22,-0.93
194802,1.36,0.21
194902,.58,-0.57
195002,.91,-0.24
195102,.46,-0.69
195202,.34,-0.81
195302,.56,-0.59
195402,.55,-0.60
195502,.49,-0.66
195602,.58,-0.57
195702,.62,-0.53
195802,1.7,0.55
195902,1.31,0.16
196002,.79,-0.36
196102,.14,-1.01
196202,1.25,0.10
196302,1.18,0.03
196402,.14,-1.01
196502,1.28,0.13
196602,1.25,0.10
196702,.08,-1.07
196802,.94,-0.21
196902,1.18,0.03
197002,.42,-0.73
197102,.7,-0.45
197202,.01,-1.14
197302,2.02,0.87
197402,.14,-1.01
197502,.72,-0.43
197602,1.89,0.74
197702,.21,-0.94
197802,2.31,1.16
197902,.72,-0.43
198002,3.52,2.37
198102,.76,-0.39
198202,1.36,0.21
198302,1.42,0.27
198402,.09,-1.06
198502,.97,-0.18
198602,1.35,0.20
198702,1.51,0.36
198802,.89,-0.26
198902,.34,-0.81
199002,1.07,-0.08
199102,.89,-0.26
199202,1.93,0.78
199302,3.17,2.02
199402,1.24,0.09
199502,1.47,0.32
199602,1.08,-0.07
199702,.91,-0.24
199802,3.06,1.91
199902,.36,-0.79
200002,.59,-0.56
200102,1,-0.15
200202,.1,-1.05
200302,2.44,1.29
200402,1.07,-0.08
200502,3.35,2.20
200602,.04,-1.11
200702,.56,-0.59
200802,1.19,0.04
200902,1.02,-0.13
201002,1.44,0.29
201102,1.05,-0.10
201202,.43,-0.72
201302,.51,-0.64
201402,.16,-0.99
201502,.64,-0.51
