New York, Precipitation, October
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189510,1.94,-1.45
189610,2.6,-0.79
189710,1.09,-2.30
189810,5.01,1.62
189910,2.4,-0.99
190010,3.11,-0.28
190110,2.05,-1.34
190210,4.09,0.70
190310,5.95,2.56
190410,3.36,-0.03
190510,3.39,0.00
190610,4.36,0.97
190710,4.39,1.00
190810,2.13,-1.26
190910,2.03,-1.36
191010,2.59,-0.80
191110,4,0.61
191210,3.14,-0.25
191310,5.34,1.95
191410,1.99,-1.40
191510,3.13,-0.26
191610,2.33,-1.06
191710,6.79,3.40
191810,4.01,0.62
191910,4.26,0.87
192010,2.39,-1.00
192110,3.11,-0.28
192210,2.51,-0.88
192310,3.28,-0.11
192410,.64,-2.75
192510,4.2,0.81
192610,4.95,1.56
192710,5.66,2.27
192810,2.88,-0.51
192910,3.86,0.47
193010,1.51,-1.88
193110,2.37,-1.02
193210,5.92,2.53
193310,2.5,-0.89
193410,2.39,-1.00
193510,2.88,-0.51
193610,4.58,1.19
193710,4.74,1.35
193810,1.29,-2.10
193910,3.56,0.17
194010,2.08,-1.31
194110,3.82,0.43
194210,3.39,0.00
194310,5.26,1.87
194410,2.49,-0.90
194510,5.1,1.71
194610,3.88,0.49
194710,1.26,-2.13
194810,2.95,-0.44
194910,1.84,-1.55
195010,2.61,-0.78
195110,2.59,-0.80
195210,2.22,-1.17
195310,2.43,-0.96
195410,3.08,-0.31
195510,8.57,5.18
195610,1.78,-1.61
195710,1.96,-1.43
195810,4.22,0.83
195910,6.8,3.41
196010,2.63,-0.76
196110,2.37,-1.02
196210,4,0.61
196310,.34,-3.05
196410,1.34,-2.05
196510,3.58,0.19
196610,2.02,-1.37
196710,3.85,0.46
196810,3.5,0.11
196910,2.67,-0.72
197010,3.81,0.42
197110,2.14,-1.25
197210,3.57,0.18
197310,2.85,-0.54
197410,1.6,-1.79
197510,3.64,0.25
197610,6.25,2.86
197710,5.06,1.67
197810,3.59,0.20
197910,3.91,0.52
198010,3.81,0.42
198110,5.11,1.72
198210,1.62,-1.77
198310,3.36,-0.03
198410,2.16,-1.23
198510,3.29,-0.10
198610,3.38,-0.01
198710,3.79,0.40
198810,3.67,0.28
198910,4.24,0.85
199010,6.39,3.00
199110,2.96,-0.43
199210,3.11,-0.28
199310,3.3,-0.09
199410,1.03,-2.36
199510,7.51,4.12
199610,4.12,0.73
199710,2.16,-1.23
199810,2.84,-0.55
199910,3.04,-0.35
200010,2.34,-1.05
200110,2.36,-1.03
200210,4.31,0.92
200310,5.34,1.95
200410,2.26,-1.13
200510,8.29,4.90
200610,6.16,2.77
200710,5.01,1.62
200810,4.74,1.35
200910,4.42,1.03
201010,6.9,3.51
201110,4.61,1.22
201210,4.94,1.55
201310,3.21,-0.18
201410,3.98,0.59
201510,3.71,0.32
