Idaho, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.91,-0.85
189603,.64,0.70
189703,3,3.06
189803,-.31,-0.25
189903,.59,0.65
190003,-1.24,-1.18
190103,-.07,-0.01
190203,.51,0.57
190303,.63,0.69
190403,4.39,4.45
190503,-4.04,-3.98
190603,1.13,1.19
190703,3.51,3.57
190803,-1.85,-1.79
190903,2.87,2.93
191003,-1.01,-0.95
191103,-1.48,-1.42
191203,1.33,1.39
191303,2.35,2.41
191403,-1.08,-1.02
191503,-3.63,-3.57
191603,2.75,2.81
191703,1.76,1.82
191803,-.97,-0.91
191903,-1.37,-1.31
192003,.51,0.57
192103,1.85,1.91
192203,.6,0.66
192303,-2.11,-2.05
192403,-.98,-0.92
192503,1.37,1.43
192603,-1,-0.94
192703,1.65,1.71
192803,-.2,-0.14
192903,-2.89,-2.83
193003,-3.41,-3.35
193103,-2.2,-2.14
193203,1.06,1.12
193303,-.49,-0.43
193403,-2.25,-2.19
193503,-3.62,-3.56
193603,-2.46,-2.40
193703,-4.56,-4.50
193803,2.4,2.46
193903,-.81,-0.75
194003,-1.77,-1.71
194103,-1.69,-1.63
194203,1.42,1.48
194303,2.18,2.24
194403,-3.3,-3.24
194503,.82,0.88
194603,1.85,1.91
194703,-1.04,-0.98
194803,.95,1.01
194903,-.54,-0.48
195003,1.84,1.90
195103,.02,0.08
195203,.02,0.08
195303,.25,0.31
195403,-1.53,-1.47
195503,-3.09,-3.03
195603,-.42,-0.36
195703,.73,0.79
195803,.32,0.38
195903,-.29,-0.23
196003,.77,0.83
196103,-1.15,-1.09
196203,.9,0.96
196303,-.73,-0.67
196403,.88,0.94
196503,2.79,2.85
196603,-1.74,-1.68
196703,.4,0.46
196803,-.72,-0.66
196903,-.9,-0.84
197003,.77,0.83
197103,3.63,3.69
197203,3.27,3.33
197303,-1.36,-1.30
197403,3.86,3.92
197503,1.24,1.30
197603,2.91,2.97
197703,-6.07,-6.01
197803,1.35,1.41
197903,-1.48,-1.42
198003,.41,0.47
198103,-.99,-0.93
198203,3.23,3.29
198303,4.12,4.18
198403,4.06,4.12
198503,-1.05,-0.99
198603,-.51,-0.45
198703,-2.75,-2.69
198803,-4.04,-3.98
198903,-1.47,-1.41
199003,-3.1,-3.04
199103,.35,0.41
199203,-3.13,-3.07
199303,.27,0.33
199403,-3.15,-3.09
199503,1.63,1.69
199603,4,4.06
199703,3.45,3.51
199803,1.11,1.17
199903,-.49,-0.43
200003,-1.48,-1.42
200103,-4.45,-4.39
200203,-2.63,-2.57
200303,-2.54,-2.48
200403,-3.77,-3.71
200503,-2.1,-2.04
200603,1.91,1.97
200703,-1.84,-1.78
200803,-1.3,-1.24
200903,.65,0.71
201003,-2.16,-2.10
201103,2.88,2.94
201203,-.06,0.00
201303,-1.66,-1.60
201403,-1.9,-1.84
201503,-2.63,-2.57
