New Mexico, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.72,0.61
189601,-.33,-0.44
189701,2.27,2.16
189801,3.01,2.90
189901,-.79,-0.90
190001,-1.05,-1.16
190101,-.97,-1.08
190201,-1.27,-1.38
190301,0,-0.11
190401,-3.17,-3.28
190501,2.18,2.07
190601,6.13,6.02
190701,5.85,5.74
190801,3.15,3.04
190901,-1.56,-1.67
191001,-1.7,-1.81
191101,-4.38,-4.49
191201,.95,0.84
191301,.58,0.47
191401,-.45,-0.56
191501,3.66,3.55
191601,4.8,4.69
191701,-.12,-0.23
191801,-2.83,-2.94
191901,1.38,1.27
192001,5.08,4.97
192101,-.93,-1.04
192201,-2.19,-2.30
192301,-4.05,-4.16
192401,3.23,3.12
192501,-2.22,-2.33
192601,-.39,-0.50
192701,-.69,-0.80
192801,-1.88,-1.99
192901,.18,0.07
193001,-.44,-0.55
193101,.28,0.17
193201,3.21,3.10
193301,.28,0.17
193401,-1.65,-1.76
193501,-3.75,-3.86
193601,.95,0.84
193701,-.79,-0.90
193801,-1.53,-1.64
193901,.66,0.55
194001,-1.19,-1.30
194101,1.55,1.44
194201,9.6,9.49
194301,-.45,-0.56
194401,.84,0.73
194501,.96,0.85
194601,-1.96,-2.07
194701,-1.6,-1.71
194801,.43,0.32
194901,1.04,0.93
195001,-1.35,-1.46
195101,-3.07,-3.18
195201,-3.49,-3.60
195301,-2.87,-2.98
195401,-3.52,-3.63
195501,-3.62,-3.73
195601,-3.55,-3.66
195701,-5.34,-5.45
195801,1.47,1.36
195901,-1.22,-1.33
196001,.97,0.86
196101,1.46,1.35
196201,1.42,1.31
196301,-.25,-0.36
196401,-2.59,-2.70
196501,-2.81,-2.92
196601,.76,0.65
196701,-1.91,-2.02
196801,.59,0.48
196901,-1.33,-1.44
197001,-.48,-0.59
197101,-2.15,-2.26
197201,-.49,-0.60
197301,3.52,3.41
197401,-1.81,-1.92
197501,2.59,2.48
197601,-1.2,-1.31
197701,-1.54,-1.65
197801,.3,0.19
197901,2.98,2.87
198001,2.44,2.33
198101,-2.27,-2.38
198201,-.93,-1.04
198301,1.68,1.57
198401,1.51,1.40
198501,3.98,3.87
198601,3.55,3.44
198701,5.83,5.72
198801,4.17,4.06
198901,-.86,-0.97
199001,-2.52,-2.63
199101,1.59,1.48
199201,4.76,4.65
199301,4.47,4.36
199401,-1.23,-1.34
199501,1.27,1.16
199601,-2.4,-2.51
199701,.84,0.73
199801,1.7,1.59
199901,-.66,-0.77
200001,-2.32,-2.43
200101,2.68,2.57
200201,-1.88,-1.99
200301,-2.62,-2.73
200401,-4.35,-4.46
200501,2.27,2.16
200601,-2.31,-2.42
200701,2.43,2.32
200801,-.72,-0.83
200901,-1.08,-1.19
201001,1.07,0.96
201101,-2.02,-2.13
201201,-3.47,-3.58
201301,-4.89,-5.00
201401,-2.61,-2.72
201501,.83,0.72
