California, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.03,1.10
189604,1.75,1.82
189704,-.59,-0.52
189804,-3.28,-3.21
189904,.39,0.46
190004,.34,0.41
190104,1.65,1.72
190204,1.4,1.47
190304,-.19,-0.12
190404,2.98,3.05
190504,1.34,1.41
190604,2.53,2.60
190704,5.15,5.22
190804,-1.64,-1.57
190904,-.78,-0.71
191004,-1.34,-1.27
191104,2.26,2.33
191204,1.27,1.34
191304,-1.7,-1.63
191404,-.82,-0.75
191504,1.34,1.41
191604,-1.1,-1.03
191704,.04,0.11
191804,-2.31,-2.24
191904,-1.08,-1.01
192004,.82,0.89
192104,-1.27,-1.20
192204,-.36,-0.29
192304,.93,1.00
192404,-3.81,-3.74
192504,.74,0.81
192604,.91,0.98
192704,1.91,1.98
192804,-.76,-0.69
192904,-2.3,-2.23
193004,-2.05,-1.98
193104,-3.44,-3.37
193204,-.85,-0.78
193304,-2.15,-2.08
193404,-3.4,-3.33
193504,1.92,1.99
193604,-.89,-0.82
193704,-.02,0.05
193804,4.1,4.17
193904,-2.37,-2.30
194004,-.27,-0.20
194104,4.13,4.20
194204,3.22,3.29
194304,2.52,2.59
194404,.25,0.32
194504,-.51,-0.44
194604,-1.6,-1.53
194704,-2.38,-2.31
194804,1.64,1.71
194904,-.85,-0.78
195004,-1.99,-1.92
195104,-.96,-0.89
195204,2.91,2.98
195304,.34,0.41
195404,-.13,-0.06
195504,.54,0.61
195604,.11,0.18
195704,.03,0.10
195804,5.17,5.24
195904,-3.18,-3.11
196004,-3.2,-3.13
196104,-2.63,-2.56
196204,-.76,-0.69
196304,1.77,1.84
196404,-2.29,-2.22
196504,1.18,1.25
196604,-1.72,-1.65
196704,3,3.07
196804,-1.77,-1.70
196904,-.49,-0.42
197004,-.96,-0.89
197104,-1.02,-0.95
197204,-1.9,-1.83
197304,-.61,-0.54
197404,2.55,2.62
197504,1.94,2.01
197604,-3.18,-3.11
197704,-6.02,-5.95
197804,4,4.07
197904,.51,0.58
198004,1.83,1.90
198104,-2.12,-2.05
198204,3.78,3.85
198304,7.93,8.00
198404,-2.05,-1.98
198504,-1.98,-1.91
198604,-.34,-0.27
198704,-2.93,-2.86
198804,-2.95,-2.88
198904,-1.97,-1.90
199004,-3.81,-3.74
199104,-2.77,-2.70
199204,-2.35,-2.28
199304,2.46,2.53
199404,-2.88,-2.81
199504,4.79,4.86
199604,2.15,2.22
199704,-2.26,-2.19
199804,4.09,4.16
199904,.47,0.54
200004,-.56,-0.49
200104,-1.99,-1.92
200204,-2.68,-2.61
200304,1.39,1.46
200404,-1.7,-1.63
200504,2.09,2.16
200604,4.61,4.68
200704,-3.66,-3.59
200804,-3.53,-3.46
200904,-4.2,-4.13
201004,1.22,1.29
201104,2.47,2.54
201204,-1.74,-1.67
201304,-2.83,-2.76
201404,-5.53,-5.46
201504,-5.54,-5.47
