Utah, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-.62,-1.04
189608,.73,0.31
189708,-1.2,-1.62
189808,-.29,-0.71
189908,.79,0.37
190008,-3.91,-4.33
190108,-1.88,-2.30
190208,-4.3,-4.72
190308,-.5,-0.92
190408,-.04,-0.46
190508,1.09,0.67
190608,5.32,4.90
190708,6.54,6.12
190808,3.06,2.64
190908,5.78,5.36
191008,1,0.58
191108,1.37,0.95
191208,2.16,1.74
191308,1.85,1.43
191408,4.7,4.28
191508,1.08,0.66
191608,2.35,1.93
191708,-.14,-0.56
191808,0,-0.42
191908,-3.11,-3.53
192008,2.74,2.32
192108,4.42,4.00
192208,4.1,3.68
192308,4.25,3.83
192408,-2.65,-3.07
192508,1.06,0.64
192608,-1.6,-2.02
192708,2.45,2.03
192808,-1.74,-2.16
192908,1.96,1.54
193008,1.06,0.64
193108,-4.35,-4.77
193208,3.82,3.40
193308,-1.17,-1.59
193408,-6.41,-6.83
193508,-1.81,-2.23
193608,1.31,0.89
193708,2.01,1.59
193808,-.06,-0.48
193908,-2.83,-3.25
194008,-4.47,-4.89
194108,4.8,4.38
194208,-.43,-0.85
194308,-1.45,-1.87
194408,-.69,-1.11
194508,2.46,2.04
194608,-2.01,-2.43
194708,4.35,3.93
194808,1.78,1.36
194908,-.34,-0.76
195008,-1.73,-2.15
195108,.7,0.28
195208,3.13,2.71
195308,-1.46,-1.88
195408,-4.3,-4.72
195508,-2.1,-2.52
195608,-3.4,-3.82
195708,3.61,3.19
195808,-1.34,-1.76
195908,-3.65,-4.07
196008,-4.76,-5.18
196108,.6,0.18
196208,-.92,-1.34
196308,-2.57,-2.99
196408,-1.54,-1.96
196508,5.88,5.46
196608,-1.84,-2.26
196708,2.01,1.59
196808,2.71,2.29
196908,2.71,2.29
197008,.44,0.02
197108,.27,-0.15
197208,-3.34,-3.76
197308,4.33,3.91
197408,-3.23,-3.65
197508,-.09,-0.51
197608,-1.5,-1.92
197708,-4.85,-5.27
197808,1.12,0.70
197908,-.33,-0.75
198008,3.66,3.24
198108,-2.62,-3.04
198208,2.65,2.23
198308,7.26,6.84
198408,6.7,6.28
198508,3.11,2.69
198608,3.02,2.60
198708,.65,0.23
198808,-.96,-1.38
198908,-3.63,-4.05
199008,-5.34,-5.76
199108,-2.5,-2.92
199208,-2.41,-2.83
199308,3.08,2.66
199408,-3.07,-3.49
199508,5.69,5.27
199608,-3.11,-3.53
199708,3.59,3.17
199808,4.94,4.52
199908,3.62,3.20
200008,-3.79,-4.21
200108,-2.15,-2.57
200208,-6.61,-7.03
200308,-4.93,-5.35
200408,-3.11,-3.53
200508,5.23,4.81
200608,-2.09,-2.51
200708,-3.51,-3.93
200808,-1.79,-2.21
200908,-1.72,-2.14
201008,.82,0.40
201108,5.7,5.28
201208,-4.6,-5.02
201308,-4.17,-4.59
201408,-2.75,-3.17
201508,-2.27,-2.69
