Iowa, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.1,-1.42
189605,1.47,1.15
189705,-.7,-1.02
189805,-2.47,-2.79
189905,.93,0.61
190005,-2.14,-2.46
190105,-1.05,-1.37
190205,.4,0.08
190305,4.66,4.34
190405,-.07,-0.39
190505,1.37,1.05
190605,-.5,-0.82
190705,.28,-0.04
190805,2.78,2.46
190905,2.91,2.59
191005,-2.18,-2.50
191105,-3.97,-4.29
191205,-.5,-0.82
191305,1.6,1.28
191405,-2.57,-2.89
191505,2.29,1.97
191605,.41,0.09
191705,1.13,0.81
191805,.94,0.62
191905,1.78,1.46
192005,-.16,-0.48
192105,-.64,-0.96
192205,-.31,-0.63
192305,-1.43,-1.75
192405,-1.22,-1.54
192505,-2.4,-2.72
192605,-1.6,-1.92
192705,2.64,2.32
192805,-1.76,-2.08
192905,-.45,-0.77
193005,-.01,-0.33
193105,-3.78,-4.10
193205,1.65,1.33
193305,-.48,-0.80
193405,-7.13,-7.45
193505,.59,0.27
193605,-1.71,-2.03
193705,-1.47,-1.79
193805,.99,0.67
193905,-1.4,-1.72
194005,-4.11,-4.43
194105,-2,-2.32
194205,1.36,1.04
194305,1.57,1.25
194405,2.93,2.61
194505,3.41,3.09
194605,1.06,0.74
194705,2.42,2.10
194805,-2,-2.32
194905,-1.26,-1.58
195005,.78,0.46
195105,3.08,2.76
195205,2.86,2.54
195305,-.57,-0.89
195405,.57,0.25
195505,-.95,-1.27
195605,-6.29,-6.61
195705,.44,0.12
195805,-1.64,-1.96
195905,2.22,1.90
196005,3.07,2.75
196105,1.39,1.07
196205,2.68,2.36
196305,-.7,-1.02
196405,.47,0.15
196505,1.95,1.63
196605,1.83,1.51
196705,-2.4,-2.72
196805,.29,-0.03
196905,1.7,1.38
197005,-.16,-0.48
197105,-.9,-1.22
197205,.9,0.58
197305,5.29,4.97
197405,4,3.68
197505,-.39,-0.71
197605,-.14,-0.46
197705,-5.47,-5.79
197805,1.98,1.66
197905,2.6,2.28
198005,-1.36,-1.68
198105,-1.31,-1.63
198205,3.01,2.69
198305,4.76,4.44
198405,3.74,3.42
198505,-1.06,-1.38
198605,2.17,1.85
198705,-.87,-1.19
198805,-2.14,-2.46
198905,-5.34,-5.66
199005,1.39,1.07
199105,3.21,2.89
199205,-.88,-1.20
199305,4.42,4.10
199405,2.33,2.01
199505,3.3,2.98
199605,1.64,1.32
199705,1.79,1.47
199805,1.49,1.17
199905,2.76,2.44
200005,-2.89,-3.21
200105,2.27,1.95
200205,.59,0.27
200305,.52,0.20
200405,1.57,1.25
200505,-.19,-0.51
200605,-1.32,-1.64
200705,2.38,2.06
200805,4.76,4.44
200905,3.69,3.37
201005,3.55,3.23
201105,4.15,3.83
201205,-1.6,-1.92
201305,3.75,3.43
201405,.4,0.08
201505,1.99,1.67
