Missouri, Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Date,Value,Anomaly
189511,1.04,0.73
189611,1.92,1.61
189711,-3.03,-3.34
189811,4.29,3.98
189911,-1.44,-1.75
190011,.99,0.68
190111,-5.6,-5.91
190211,2.69,2.38
190311,2.25,1.94
190411,-1.35,-1.66
190511,3.69,3.38
190611,1.47,1.16
190711,1.05,0.74
190811,-.56,-0.87
190911,.35,0.04
191011,-.53,-0.84
191111,.36,0.05
191211,-.41,-0.72
191311,-2.22,-2.53
191411,-.78,-1.09
191511,3.44,3.13
191611,-2.21,-2.52
191711,-1.78,-2.09
191811,-2.1,-2.41
191911,2.02,1.71
192011,-.58,-0.89
192111,1.08,0.77
192211,-2.33,-2.64
192311,.7,0.39
192411,-.75,-1.06
192511,1.86,1.55
192611,3.01,2.70
192711,5.02,4.71
192811,3.59,3.28
192911,2.9,2.59
193011,-3.23,-3.54
193111,.56,0.25
193211,-.54,-0.85
193311,-2.48,-2.79
193411,1.26,0.95
193511,-.08,-0.39
193611,.72,0.41
193711,-1.96,-2.27
193811,-1.91,-2.22
193911,-2,-2.31
194011,-2.97,-3.28
194111,2.75,2.44
194211,2.24,1.93
194311,-1.28,-1.59
194411,-1.23,-1.54
194511,3.2,2.89
194611,.86,0.55
194711,-1.5,-1.81
194811,.09,-0.22
194911,2.08,1.77
195011,1.88,1.57
195111,4.89,4.58
195211,-2.61,-2.92
195311,-6.29,-6.60
195411,-5.65,-5.96
195511,-3,-3.31
195611,-4.06,-4.37
195711,1.51,1.20
195811,-.19,-0.50
195911,.7,0.39
196011,-1.2,-1.51
196111,3.46,3.15
196211,-1.39,-1.70
196311,-3.82,-4.13
196411,-2.65,-2.96
196511,-.83,-1.14
196611,-1.5,-1.81
196711,1.84,1.53
196811,1.72,1.41
196911,2.54,2.23
197011,2.77,2.46
197111,-2.56,-2.87
197211,1.47,1.16
197311,4.34,4.03
197411,2.63,2.32
197511,-.65,-0.96
197611,-2.3,-2.61
197711,2.21,1.90
197811,.55,0.24
197911,-.41,-0.72
198011,-3.79,-4.10
198111,2.9,2.59
198211,3.31,3.00
198311,1.66,1.35
198411,2.27,1.96
198511,4.84,4.53
198611,3.03,2.72
198711,.28,-0.03
198811,.34,0.03
198911,-1.11,-1.42
199011,1.34,1.03
199111,.62,0.31
199211,2.69,2.38
199311,6.76,6.45
199411,2.47,2.16
199511,-1.33,-1.64
199611,2.77,2.46
199711,.74,0.43
199811,3.03,2.72
199911,-3.18,-3.49
200011,-.87,-1.18
200111,1.06,0.75
200211,-1.98,-2.29
200311,.59,0.28
200411,2.95,2.64
200511,-1.87,-2.18
200611,.3,-0.01
200711,-1.69,-2.00
200811,4.43,4.12
200911,5.8,5.49
201011,3.28,2.97
201111,-1.36,-1.67
201211,-3.82,-4.13
201311,-.36,-0.67
201411,1.71,1.40
201511,3.56,3.25
