Washington, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-.58,-0.59
189606,-.23,-0.24
189706,1.11,1.10
189806,-.83,-0.84
189906,1.72,1.71
190006,1.58,1.57
190106,1.97,1.96
190206,1.65,1.64
190306,1.06,1.05
190406,-.76,-0.77
190506,1.49,1.48
190606,1.27,1.26
190706,-.43,-0.44
190806,.47,0.46
190906,-1.73,-1.74
191006,-1.05,-1.06
191106,.69,0.68
191206,.19,0.18
191306,.88,0.87
191406,-1.13,-1.14
191506,.42,0.41
191606,2.86,2.85
191706,1.63,1.62
191806,-1.59,-1.60
191906,-.44,-0.45
192006,.45,0.44
192106,2.33,2.32
192206,-1.95,-1.96
192306,.31,0.30
192406,-3.58,-3.59
192506,-2.19,-2.20
192606,-4.31,-4.32
192706,-.28,-0.29
192806,-1.2,-1.21
192906,-2.76,-2.77
193006,-3.33,-3.34
193106,.81,0.80
193206,-.94,-0.95
193306,.45,0.44
193406,-2.61,-2.62
193506,-1.55,-1.56
193606,1,0.99
193706,2.41,2.40
193806,-1.46,-1.47
193906,-3.17,-3.18
194006,-2.33,-2.34
194106,1.15,1.14
194206,1.38,1.37
194306,.61,0.60
194406,-2.38,-2.39
194506,-.41,-0.42
194606,.68,0.67
194706,.51,0.50
194806,3.41,3.40
194906,-1.9,-1.91
195006,2.06,2.05
195106,-1.32,-1.33
195206,-1.42,-1.43
195306,1.69,1.68
195406,1.53,1.52
195506,.98,0.97
195606,-1.11,-1.12
195706,.05,0.04
195806,-1.1,-1.11
195906,1.23,1.22
196006,-.41,-0.42
196106,-.49,-0.50
196206,.44,0.43
196306,.15,0.14
196406,.46,0.45
196506,-1.4,-1.41
196606,-.02,-0.03
196706,-.64,-0.65
196806,.6,0.59
196906,-.89,-0.90
197006,-1.69,-1.70
197106,1.86,1.85
197206,3.12,3.11
197306,-2.36,-2.37
197406,3,2.99
197506,-.13,-0.14
197606,1.29,1.28
197706,-.43,-0.44
197806,.37,0.36
197906,-2.55,-2.56
198006,.96,0.95
198106,1.83,1.82
198206,1.63,1.62
198306,1.59,1.58
198406,3.42,3.41
198506,-2.16,-2.17
198606,-1.56,-1.57
198706,-1.94,-1.95
198806,-1.48,-1.49
198906,-1.17,-1.18
199006,1.21,1.20
199106,2.15,2.14
199206,-3.22,-3.23
199306,1.53,1.52
199406,-2.04,-2.05
199506,.56,0.55
199606,2.93,2.92
199706,4.37,4.36
199806,-.58,-0.59
199906,2.52,2.51
200006,.56,0.55
200106,.42,0.41
200206,-.08,-0.09
200306,-1.1,-1.11
200406,-2.39,-2.40
200506,.8,0.79
200606,-.36,-0.37
200706,-.85,-0.86
200806,-1.07,-1.08
200906,-1.27,-1.28
201006,2.32,2.31
201106,4.07,4.06
201206,2.69,2.68
201306,1.02,1.01
201406,-.08,-0.09
201506,-2.78,-2.79
