California, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.35,1.39
189603,.29,0.33
189703,3.48,3.52
189803,-2.89,-2.85
189903,.99,1.03
190003,-1.4,-1.36
190103,1.38,1.42
190203,1.23,1.27
190303,2.01,2.05
190403,2.98,3.02
190503,1.9,1.94
190603,2.71,2.75
190703,6.1,6.14
190803,-1.2,-1.16
190903,.03,0.07
191003,-.74,-0.70
191103,2.43,2.47
191203,.57,0.61
191303,-1.76,-1.72
191403,-1.06,-1.02
191503,1.47,1.51
191603,-.55,-0.51
191703,-.55,-0.51
191803,-2.01,-1.97
191903,-.75,-0.71
192003,.61,0.65
192103,-.86,-0.82
192203,1.39,1.43
192303,-2.01,-1.97
192403,-3.68,-3.64
192503,.18,0.22
192603,-2.44,-2.40
192703,1.9,1.94
192803,-.78,-0.74
192903,-2.83,-2.79
193003,-2.11,-2.07
193103,-3.42,-3.38
193203,-.91,-0.87
193303,-1.86,-1.82
193403,-2.91,-2.87
193503,.66,0.70
193603,-.74,-0.70
193703,1.76,1.80
193803,4.45,4.49
193903,-1.83,-1.79
194003,2.14,2.18
194103,3.29,3.33
194203,2.47,2.51
194303,2.65,2.69
194403,-.52,-0.48
194503,1.03,1.07
194603,-.96,-0.92
194703,-2.07,-2.03
194803,.22,0.26
194903,.69,0.73
195003,-1.94,-1.90
195103,-.99,-0.95
195203,3.34,3.38
195303,-1.15,-1.11
195403,.77,0.81
195503,-2.14,-2.10
195603,-1.12,-1.08
195703,-2.1,-2.06
195803,4.45,4.49
195903,-2.7,-2.66
196003,-3.41,-3.37
196103,-2.49,-2.45
196203,1.35,1.39
196303,.25,0.29
196403,-2.12,-2.08
196503,-1.45,-1.41
196603,-1.23,-1.19
196703,1.45,1.49
196803,-1.36,-1.32
196903,-.63,-0.59
197003,-.72,-0.68
197103,-.98,-0.94
197203,-1.98,-1.94
197303,2.44,2.48
197403,2.71,2.75
197503,1.64,1.68
197603,-3.58,-3.54
197703,-5.68,-5.64
197803,3.34,3.38
197903,.84,0.88
198003,2.04,2.08
198103,-1.88,-1.84
198203,3.03,3.07
198303,7.85,7.89
198403,-2.09,-2.05
198503,-1.23,-1.19
198603,2.36,2.40
198703,-2.33,-2.29
198803,-3.63,-3.59
198903,-1.46,-1.42
199003,-3.51,-3.47
199103,-2.65,-2.61
199203,-2.04,-2.00
199303,2.9,2.94
199403,-2.96,-2.92
199503,4.71,4.75
199603,2.28,2.32
199703,-2,-1.96
199803,4.17,4.21
199903,.29,0.33
200003,-.54,-0.50
200103,-2.36,-2.32
200203,-2.48,-2.44
200303,.1,0.14
200403,-1.19,-1.15
200503,2.21,2.25
200603,3.71,3.75
200703,-3.74,-3.70
200803,-3.18,-3.14
200903,-4.08,-4.04
201003,.22,0.26
201103,3.03,3.07
201203,-2.32,-2.28
201303,-2.43,-2.39
201403,-5.58,-5.54
201503,-5.68,-5.64
