Iowa, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-.97,-1.39
189609,2.17,1.75
189709,-2.59,-3.01
189809,-2.67,-3.09
189909,-1.15,-1.57
190009,1.99,1.57
190109,-3.14,-3.56
190209,5.24,4.82
190309,5.05,4.63
190409,-.18,-0.60
190509,1.09,0.67
190609,.1,-0.32
190709,2.3,1.88
190809,1.96,1.54
190909,2.27,1.85
191009,-3.36,-3.78
191109,.19,-0.23
191209,-.65,-1.07
191309,-2.34,-2.76
191409,1.29,0.87
191509,4.56,4.14
191609,-1.61,-2.03
191709,-1.15,-1.57
191809,.15,-0.27
191909,1.08,0.66
192009,-.57,-0.99
192109,1.19,0.77
192209,-1.15,-1.57
192309,1.43,1.01
192409,2.39,1.97
192509,.32,-0.10
192609,2.27,1.85
192709,-1.54,-1.96
192809,2.01,1.59
192909,-1.05,-1.47
193009,-2.32,-2.74
193109,.64,0.22
193209,1.81,1.39
193309,-2.68,-3.10
193409,-6.66,-7.08
193509,.19,-0.23
193609,-3.54,-3.96
193709,-2.8,-3.22
193809,1.64,1.22
193909,-2.32,-2.74
194009,-2.87,-3.29
194109,1.19,0.77
194209,2.26,1.84
194309,2.11,1.69
194409,2.92,2.50
194509,2.54,2.12
194609,1.54,1.12
194709,-2.8,-3.22
194809,-2.8,-3.22
194909,-1.47,-1.89
195009,-.52,-0.94
195109,4.3,3.88
195209,-.87,-1.29
195309,-2.18,-2.60
195409,.79,0.37
195509,-3.02,-3.44
195609,-6.07,-6.49
195709,.13,-0.29
195809,-.37,-0.79
195909,1.3,0.88
196009,2.45,2.03
196109,2.57,2.15
196209,-.17,-0.59
196309,-1.15,-1.57
196409,1.28,0.86
196509,3.91,3.49
196609,-1.23,-1.65
196709,-.9,-1.32
196809,1.05,0.63
196909,2.46,2.04
197009,.93,0.51
197109,-2.26,-2.68
197209,2.55,2.13
197309,4.49,4.07
197409,2.09,1.67
197509,-1.13,-1.55
197609,-2.9,-3.32
197709,1.97,1.55
197809,2.75,2.33
197909,2.41,1.99
198009,-.02,-0.44
198109,1.38,0.96
198209,3.43,3.01
198309,2.03,1.61
198409,1.62,1.20
198509,.59,0.17
198609,3.48,3.06
198709,1.52,1.10
198809,-4.27,-4.69
198909,-4.08,-4.50
199009,2.64,2.22
199109,.67,0.25
199209,2.66,2.24
199309,8.83,8.41
199409,2.38,1.96
199509,-.9,-1.32
199609,1.29,0.87
199709,-.93,-1.35
199809,1.67,1.25
199909,-.51,-0.93
200009,-.94,-1.36
200109,-.53,-0.95
200209,.07,-0.35
200309,-1.25,-1.67
200409,1.49,1.07
200509,-.77,-1.19
200609,.75,0.33
200709,3.02,2.60
200809,5.11,4.69
200909,3.88,3.46
201009,6.86,6.44
201109,-1.16,-1.58
201209,-4.62,-5.04
201309,-2.46,-2.88
201409,3.36,2.94
201509,3.81,3.39
