Washington, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-1.26,-1.04
189603,.58,0.80
189703,2.13,2.35
189803,-.98,-0.76
189903,1.02,1.24
190003,1.47,1.69
190103,1.59,1.81
190203,1.47,1.69
190303,1.37,1.59
190403,3.89,4.11
190503,-2.11,-1.89
190603,-1.61,-1.39
190703,-.3,-0.08
190803,.54,0.76
190903,-1.32,-1.10
191003,-.45,-0.23
191103,-2.3,-2.08
191203,-1.02,-0.80
191303,-1.2,-0.98
191403,-1.09,-0.87
191503,-2.79,-2.57
191603,3.2,3.42
191703,.59,0.81
191803,.01,0.23
191903,1.06,1.28
192003,-2.86,-2.64
192103,3.04,3.26
192203,-1.24,-1.02
192303,-1.16,-0.94
192403,-1.98,-1.76
192503,-1.64,-1.42
192603,-4.2,-3.98
192703,.39,0.61
192803,.84,1.06
192903,-4.23,-4.01
193003,-4.24,-4.02
193103,-3.15,-2.93
193203,1.82,2.04
193303,1.4,1.62
193403,-1.22,-1.00
193503,-.33,-0.11
193603,-.07,0.15
193703,.04,0.26
193803,-.21,0.01
193903,-2.65,-2.43
194003,-1.63,-1.41
194103,-4.04,-3.82
194203,-1.9,-1.68
194303,.3,0.52
194403,-3.18,-2.96
194503,1.03,1.25
194603,1.12,1.34
194703,-1.16,-0.94
194803,.78,1.00
194903,-.41,-0.19
195003,2.66,2.88
195103,3.37,3.59
195203,-1.23,-1.01
195303,1.11,1.33
195403,1.58,1.80
195503,.36,0.58
195603,3.92,4.14
195703,1.01,1.23
195803,.04,0.26
195903,1.05,1.27
196003,1.3,1.52
196103,2.35,2.57
196203,.05,0.27
196303,-1.66,-1.44
196403,-.67,-0.45
196503,-1.38,-1.16
196603,-1.63,-1.41
196703,.26,0.48
196803,.7,0.92
196903,-1.09,-0.87
197003,-1.69,-1.47
197103,2.23,2.45
197203,3.41,3.63
197303,-2.3,-2.08
197403,3.52,3.74
197503,.03,0.25
197603,2.11,2.33
197703,-4,-3.78
197803,-1.35,-1.13
197903,-2.33,-2.11
198003,.59,0.81
198103,-1.38,-1.16
198203,2.69,2.91
198303,2.45,2.67
198403,1.71,1.93
198503,-2.35,-2.13
198603,-1.62,-1.40
198703,-1.64,-1.42
198803,-3.22,-3.00
198903,-1.17,-0.95
199003,.4,0.62
199103,.92,1.14
199203,-3.17,-2.95
199303,-3.88,-3.66
199403,-2.62,-2.40
199503,1.16,1.38
199603,2.08,2.30
199703,4.43,4.65
199803,-.76,-0.54
199903,3.59,3.81
200003,-.38,-0.16
200103,-3.59,-3.37
200203,1.01,1.23
200303,1,1.22
200403,-2.45,-2.23
200503,-3.12,-2.90
200603,-.7,-0.48
200703,-.08,0.14
200803,-1.03,-0.81
200903,-1.59,-1.37
201003,-1.77,-1.55
201103,3.17,3.39
201203,1.52,1.74
201303,-1.49,-1.27
201403,1.87,2.09
201503,-1.09,-0.87
201603,2.52,2.74
