Washington, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,.05,0.27
189604,1.34,1.56
189704,1.29,1.51
189804,-1.36,-1.14
189904,1.62,1.84
190004,1.03,1.25
190104,2.06,2.28
190204,2,2.22
190304,1.17,1.39
190404,-.07,0.15
190504,-2.68,-2.46
190604,-2.51,-2.29
190704,-.05,0.17
190804,.5,0.72
190904,-1.77,-1.55
191004,-.69,-0.47
191104,-2.61,-2.39
191204,-.03,0.19
191304,-1.57,-1.35
191404,-.98,-0.76
191504,-2.61,-2.39
191604,2.86,3.08
191704,1.8,2.02
191804,-.87,-0.65
191904,1.09,1.31
192004,.59,0.81
192104,3.08,3.30
192204,-.96,-0.74
192304,-1.35,-1.13
192404,-2.39,-2.17
192504,-1.81,-1.59
192604,-4.73,-4.51
192704,.07,0.29
192804,1.39,1.61
192904,-3.55,-3.33
193004,-4.2,-3.98
193104,-3.1,-2.88
193204,1.92,2.14
193304,-.83,-0.61
193404,-2.05,-1.83
193504,-.76,-0.54
193604,-.93,-0.71
193704,1.6,1.82
193804,-.37,-0.15
193904,-3.36,-3.14
194004,-1.35,-1.13
194104,-4.05,-3.83
194204,-2.05,-1.83
194304,.43,0.65
194404,-2.68,-2.46
194504,1.1,1.32
194604,-.05,0.17
194704,-1.17,-0.95
194804,1.4,1.62
194904,-1.02,-0.80
195004,2.8,3.02
195104,-.99,-0.77
195204,-1.67,-1.45
195304,1.09,1.31
195404,1.63,1.85
195504,1.36,1.58
195604,-1.1,-0.88
195704,-.23,-0.01
195804,.94,1.16
195904,1.17,1.39
196004,1.7,1.92
196104,2.31,2.53
196204,.25,0.47
196304,.6,0.82
196404,-.64,-0.42
196504,-1.14,-0.92
196604,-2.14,-1.92
196704,.52,0.74
196804,.48,0.70
196904,-.53,-0.31
197004,-.75,-0.53
197104,1.86,2.08
197204,3.87,4.09
197304,-2.75,-2.53
197404,3.58,3.80
197504,-.04,0.18
197604,1.8,2.02
197704,-4.51,-4.29
197804,.44,0.66
197904,-2.15,-1.93
198004,.52,0.74
198104,.62,0.84
198204,3.01,3.23
198304,1.92,2.14
198404,1.96,2.18
198504,-2.3,-2.08
198604,-1.46,-1.24
198704,-1.86,-1.64
198804,-2.4,-2.18
198904,-1.19,-0.97
199004,.19,0.41
199104,1.66,1.88
199204,-2.46,-2.24
199304,1.1,1.32
199404,-2.5,-2.28
199504,1.17,1.39
199604,3.1,3.32
199704,4.58,4.80
199804,-1.29,-1.07
199904,2.66,2.88
200004,-.74,-0.52
200104,.28,0.50
200204,1.11,1.33
200304,1.39,1.61
200404,-3.08,-2.86
200504,.18,0.40
200604,-.62,-0.40
200704,-.39,-0.17
200804,-.94,-0.72
200904,-1.46,-1.24
201004,.59,0.81
201104,3.96,4.18
201204,1.82,2.04
201304,.67,0.89
201404,2.08,2.30
201504,-1.48,-1.26
