Missouri, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.5,-1.69
189604,1.02,0.83
189704,3.92,3.73
189804,2.2,2.01
189904,2.76,2.57
190004,-1.22,-1.41
190104,-.4,-0.59
190204,-4.87,-5.06
190304,2.4,2.21
190404,2.75,2.56
190504,-1.47,-1.66
190604,2.72,2.53
190704,1.43,1.24
190804,1.89,1.70
190904,1.04,0.85
191004,-1.56,-1.75
191104,-.12,-0.31
191204,2.04,1.85
191304,-.16,-0.35
191404,-1.53,-1.72
191504,-1.31,-1.50
191604,-.71,-0.90
191704,-1.95,-2.14
191804,-2.57,-2.76
191904,-1.94,-2.13
192004,.86,0.67
192104,.93,0.74
192204,2.6,2.41
192304,.24,0.05
192404,-.76,-0.95
192504,-1.01,-1.20
192604,-.3,-0.49
192704,4.39,4.20
192804,3.02,2.83
192904,3.4,3.21
193004,-1.74,-1.93
193104,-3.2,-3.39
193204,-1.24,-1.43
193304,.55,0.36
193404,-3.82,-4.01
193504,1.13,0.94
193604,-1.9,-2.09
193704,-.49,-0.68
193804,.75,0.56
193904,1.01,0.82
194004,-2.2,-2.39
194104,-2.53,-2.72
194204,1.45,1.26
194304,.72,0.53
194404,1.85,1.66
194504,3.28,3.09
194604,-.85,-1.04
194704,1.32,1.13
194804,-.98,-1.17
194904,.99,0.80
195004,2.59,2.40
195104,1.79,1.60
195204,.42,0.23
195304,-1.84,-2.03
195404,-7.58,-7.77
195504,-3.81,-4.00
195604,-4.21,-4.40
195704,1.35,1.16
195804,1.31,1.12
195904,-.85,-1.04
196004,.42,0.23
196104,1.12,0.93
196204,-.51,-0.70
196304,-2.69,-2.88
196404,-3.17,-3.36
196504,.51,0.32
196604,-.21,-0.40
196704,.19,0.00
196804,1.18,0.99
196904,2.16,1.97
197004,1.45,1.26
197104,-1.45,-1.64
197204,-1.54,-1.73
197304,4.51,4.32
197404,3.28,3.09
197504,3.23,3.04
197604,-.94,-1.13
197704,-3.09,-3.28
197804,1.59,1.40
197904,1.71,1.52
198004,-1,-1.19
198104,-5.14,-5.33
198204,1.78,1.59
198304,4.21,4.02
198404,2.48,2.29
198504,2.9,2.71
198604,1.81,1.62
198704,-.83,-1.02
198804,-.53,-0.72
198904,-.89,-1.08
199004,1.49,1.30
199104,-.38,-0.57
199204,-.59,-0.78
199304,2.8,2.61
199404,5.6,5.41
199504,1.68,1.49
199604,.4,0.21
199704,2.36,2.17
199804,2.14,1.95
199904,2.79,2.60
200004,-3.78,-3.97
200104,-1.03,-1.22
200204,1.3,1.11
200304,.02,-0.17
200404,.81,0.62
200504,-.83,-1.02
200604,-2.62,-2.81
200704,-.42,-0.61
200804,3.74,3.55
200904,3.44,3.25
201004,3.58,3.39
201104,3.54,3.35
201204,-1.01,-1.20
201304,2.01,1.82
201404,.5,0.31
201504,.65,0.46
