Texas, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189510,61.7,-4.4
189610,63.4,-2.7
189710,68.1,2.0
189810,64.6,-1.5
189910,67.3,1.2
190010,67.3,1.2
190110,68.2,2.1
190210,66.3,0.2
190310,63.7,-2.4
190410,66,-0.1
190510,64.8,-1.3
190610,60.9,-5.2
190710,66,-0.1
190810,63.3,-2.8
190910,65.9,-0.2
191010,65.3,-0.8
191110,65.5,-0.6
191210,66.8,0.7
191310,62.6,-3.5
191410,65.3,-0.8
191510,65.9,-0.2
191610,66,-0.1
191710,62.9,-3.2
191810,67.1,1.0
191910,67.9,1.8
192010,66.3,0.2
192110,66.8,0.7
192210,65.7,-0.4
192310,62.6,-3.5
192410,66.7,0.6
192510,63.2,-2.9
192610,69.2,3.1
192710,67.7,1.6
192810,68.9,2.8
192910,66.5,0.4
193010,64.5,-1.6
193110,70.8,4.7
193210,63.2,-2.9
193310,68.9,2.8
193410,70.7,4.6
193510,68,1.9
193610,62.4,-3.7
193710,66.5,0.4
193810,68.8,2.7
193910,68,1.9
194010,67.3,1.2
194110,69.1,3.0
194210,64.9,-1.2
194310,63.8,-2.3
194410,65.6,-0.5
194510,64.2,-1.9
194610,67.7,1.6
194710,71.8,5.7
194810,65,-1.1
194910,65.2,-0.9
195010,69.8,3.7
195110,68.2,2.1
195210,62.8,-3.3
195310,66.8,0.7
195410,68.1,2.0
195510,66.3,0.2
195610,69.4,3.3
195710,62.7,-3.4
195810,63.9,-2.2
195910,64.9,-1.2
196010,68.1,2.0
196110,65.7,-0.4
196210,69.4,3.3
196310,70.3,4.2
196410,63.9,-2.2
196510,64.3,-1.8
196610,63.5,-2.6
196710,64.9,-1.2
196810,67.4,1.3
196910,64.4,-1.7
197010,62.3,-3.8
197110,66.8,0.7
197210,66,-0.1
197310,67.5,1.4
197410,65.3,-0.8
197510,66,-0.1
197610,58.3,-7.8
197710,67.3,1.2
197810,65.5,-0.6
197910,68.7,2.6
198010,63.8,-2.3
198110,66.2,0.1
198210,65.6,-0.5
198310,67.5,1.4
198410,65.6,-0.5
198510,66.4,0.3
198610,64.5,-1.6
198710,65.6,-0.5
198810,66.3,0.2
198910,66.9,0.8
199010,64.5,-1.6
199110,67.1,1.0
199210,67.4,1.3
199310,64.4,-1.7
199410,66.8,0.7
199510,66.3,0.2
199610,65.8,-0.3
199710,66,-0.1
199810,68.5,2.4
199910,65.8,-0.3
200010,67.2,1.1
200110,65.4,-0.7
200210,64.9,-1.2
200310,67.4,1.3
200410,69.7,3.6
200510,66.5,0.4
200610,66.8,0.7
200710,68.6,2.5
200810,65.4,-0.7
200910,64.2,-1.9
201010,67.2,1.1
201110,66.9,0.8
201210,65.9,-0.2
201310,66.7,0.6
201410,69.6,3.5
201510,69.2,3.1
