Missouri, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,73.5,0.5
189606,72.7,-0.3
189706,73.7,0.7
189806,75.4,2.4
189906,74,1.0
190006,73,0.0
190106,77.5,4.5
190206,70.9,-2.1
190306,66.9,-6.1
190406,70.5,-2.5
190506,74.8,1.8
190606,71.7,-1.3
190706,70.2,-2.8
190806,71.3,-1.7
190906,73,0.0
191006,70.1,-2.9
191106,78.5,5.5
191206,69,-4.0
191306,75,2.0
191406,78.8,5.8
191506,70.2,-2.8
191606,69.6,-3.4
191706,70.7,-2.3
191806,76.6,3.6
191906,74.5,1.5
192006,72.1,-0.9
192106,76,3.0
192206,75.6,2.6
192306,73.2,0.2
192406,72.3,-0.7
192506,76.2,3.2
192606,70.5,-2.5
192706,69.9,-3.1
192806,67.4,-5.6
192906,70.9,-2.1
193006,71.9,-1.1
193106,76.4,3.4
193206,74.6,1.6
193306,77.6,4.6
193406,79.7,6.7
193506,69.2,-3.8
193606,76,3.0
193706,73.7,0.7
193806,71.7,-1.3
193906,73.8,0.8
194006,72.9,-0.1
194106,73.4,0.4
194206,72.7,-0.3
194306,75.1,2.1
194406,75.6,2.6
194506,68.8,-4.2
194606,73.2,0.2
194706,71.9,-1.1
194806,72.5,-0.5
194906,74.5,1.5
195006,72.3,-0.7
195106,70.2,-2.8
195206,80,7.0
195306,79.7,6.7
195406,76.4,3.4
195506,68.8,-4.2
195606,73.9,0.9
195706,72.9,-0.1
195806,71.1,-1.9
195906,73.2,0.2
196006,72,-1.0
196106,70.5,-2.5
196206,72.3,-0.7
196306,75.1,2.1
196406,72.6,-0.4
196506,72.5,-0.5
196606,71.4,-1.6
196706,71.9,-1.1
196806,74.1,1.1
196906,70.6,-2.4
197006,71.6,-1.4
197106,76.5,3.5
197206,72.6,-0.4
197306,73.4,0.4
197406,68.9,-4.1
197506,73.3,0.3
197606,70.7,-2.3
197706,74.4,1.4
197806,73.2,0.2
197906,72.1,-0.9
198006,74.4,1.4
198106,74,1.0
198206,68.5,-4.5
198306,71.7,-1.3
198406,74.7,1.7
198506,70.1,-2.9
198606,75.6,2.6
198706,75.4,2.4
198806,75.2,2.2
198906,70.5,-2.5
199006,73.9,0.9
199106,75.4,2.4
199206,69.9,-3.1
199306,72,-1.0
199406,75.1,2.1
199506,71.6,-1.4
199606,72.8,-0.2
199706,71.5,-1.5
199806,73.6,0.6
199906,72.6,-0.4
200006,71.2,-1.8
200106,71.7,-1.3
200206,74.7,1.7
200306,69.2,-3.8
200406,70.8,-2.2
200506,75.2,2.2
200606,73.5,0.5
200706,73.5,0.5
200806,73.5,0.5
200906,74.6,1.6
201006,77.3,4.3
201106,75.9,2.9
201206,74.8,1.8
201306,73,0.0
201406,73.7,0.7
201506,74.3,1.3
