Wisconsin, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189510,39.8,-7.0
189610,41.9,-4.9
189710,50,3.2
189810,44,-2.8
189910,50.1,3.3
190010,54.7,7.9
190110,48.3,1.5
190210,46.5,-0.3
190310,47,0.2
190410,46,-0.8
190510,44.3,-2.5
190610,45.4,-1.4
190710,44,-2.8
190810,47.8,1.0
190910,43.6,-3.2
191010,49.7,2.9
191110,43.8,-3.0
191210,47.6,0.8
191310,44.7,-2.1
191410,51.8,5.0
191510,47.4,0.6
191610,45.5,-1.3
191710,36.5,-10.3
191810,48.1,1.3
191910,44.6,-2.2
192010,53.2,6.4
192110,47.7,0.9
192210,48.9,2.1
192310,44.6,-2.2
192410,52.1,5.3
192510,36.5,-10.3
192610,43.8,-3.0
192710,48.6,1.8
192810,47.8,1.0
192910,45.9,-0.9
193010,45,-1.8
193110,51.1,4.3
193210,43.9,-2.9
193310,43.6,-3.2
193410,49.1,2.3
193510,46,-0.8
193610,43.2,-3.6
193710,43.1,-3.7
193810,51.2,4.4
193910,46.3,-0.5
194010,49.3,2.5
194110,47.8,1.0
194210,47.1,0.3
194310,46.5,-0.3
194410,47,0.2
194510,44.7,-2.1
194610,50,3.2
194710,55.9,9.1
194810,46.3,-0.5
194910,50,3.2
195010,50.8,4.0
195110,46.4,-0.4
195210,41,-5.8
195310,52.4,5.6
195410,45.6,-1.2
195510,48.1,1.3
195610,52.6,5.8
195710,45,-1.8
195810,49.3,2.5
195910,42.8,-4.0
196010,46.9,0.1
196110,48.5,1.7
196210,49.1,2.3
196310,56.2,9.4
196410,45.2,-1.6
196510,47.5,0.7
196610,46,-0.8
196710,45.2,-1.6
196810,48.9,2.1
196910,44,-2.8
197010,48.6,1.8
197110,53.3,6.5
197210,43,-3.8
197310,52.3,5.5
197410,46.5,-0.3
197510,49.3,2.5
197610,41.4,-5.4
197710,45.8,-1.0
197810,45.9,-0.9
197910,44.4,-2.4
198010,42.2,-4.6
198110,43.6,-3.2
198210,47.9,1.1
198310,47,0.2
198410,49.5,2.7
198510,46.2,-0.6
198610,46.6,-0.2
198710,41.2,-5.6
198810,41.2,-5.6
198910,47.8,1.0
199010,45.1,-1.7
199110,45.4,-1.4
199210,45.2,-1.6
199310,44.1,-2.7
199410,49.4,2.6
199510,47.3,0.5
199610,46.7,-0.1
199710,47.5,0.7
199810,49.1,2.3
199910,45.7,-1.1
200010,50.5,3.7
200110,46.1,-0.7
200210,42.1,-4.7
200310,46.8,0.0
200410,48.2,1.4
200510,49.6,2.8
200610,42.9,-3.9
200710,52.6,5.8
200810,46.7,-0.1
200910,42.2,-4.6
201010,49.5,2.7
201110,49.8,3.0
201210,44.8,-2.0
201310,46.7,-0.1
201410,46,-0.8
201510,48.5,1.7
