North Dakota, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,55.7,-0.6
189609,52,-4.3
189709,63.5,7.2
189809,56.1,-0.2
189909,55.1,-1.2
190009,54.1,-2.2
190109,52.5,-3.8
190209,52.7,-3.6
190309,50.5,-5.8
190409,54.1,-2.2
190509,59.2,2.9
190609,61.9,5.6
190709,51.7,-4.6
190809,60.6,4.3
190909,58.9,2.6
191009,54.8,-1.5
191109,54.4,-1.9
191209,51.1,-5.2
191309,57,0.7
191409,58.6,2.3
191509,54.1,-2.2
191609,54.6,-1.7
191709,55.8,-0.5
191809,51.8,-4.5
191909,58.6,2.3
192009,58.6,2.3
192109,56.7,0.4
192209,59.7,3.4
192309,58.7,2.4
192409,54.8,-1.5
192509,57.9,1.6
192609,52,-4.3
192709,56.3,0.0
192809,53.6,-2.7
192909,52.1,-4.2
193009,56,-0.3
193109,60.7,4.4
193209,56.4,0.1
193309,60.6,4.3
193409,52.1,-4.2
193509,56.9,0.6
193609,59.9,3.6
193709,58.1,1.8
193809,61.4,5.1
193909,58.7,2.4
194009,62.5,6.2
194109,55.2,-1.1
194209,53.8,-2.5
194309,55.4,-0.9
194409,56.1,-0.2
194509,53.7,-2.6
194609,56.1,-0.2
194709,55.5,-0.8
194809,63.3,7.0
194909,55.2,-1.1
195009,57.1,0.8
195109,52.4,-3.9
195209,60.5,4.2
195309,57.2,0.9
195409,54.9,-1.4
195509,56.1,-0.2
195609,54,-2.3
195709,54.3,-2.0
195809,57.7,1.4
195909,55.3,-1.0
196009,58.8,2.5
196109,52.5,-3.8
196209,54.9,-1.4
196309,60.9,4.6
196409,53.4,-2.9
196509,45.5,-10.8
196609,58.3,2.0
196709,59.9,3.6
196809,56.9,0.6
196909,59.1,2.8
197009,57,0.7
197109,56,-0.3
197209,53.7,-2.6
197309,54.9,-1.4
197409,53,-3.3
197509,54.4,-1.9
197609,59.1,2.8
197709,55.5,-0.8
197809,61.2,4.9
197909,59.7,3.4
198009,55.7,-0.6
198109,57.4,1.1
198209,56,-0.3
198309,55.8,-0.5
198409,51.3,-5.0
198509,51.8,-4.5
198609,52.9,-3.4
198709,58.2,1.9
198809,55.6,-0.7
198909,57.2,0.9
199009,60.6,4.3
199109,56.7,0.4
199209,54.9,-1.4
199309,52.2,-4.1
199409,59.9,3.6
199509,56.1,-0.2
199609,56.1,-0.2
199709,60.4,4.1
199809,62.4,6.1
199909,53.6,-2.7
200009,57,0.7
200109,58.3,2.0
200209,59.2,2.9
200309,56.8,0.5
200409,59,2.7
200509,59.7,3.4
200609,55.7,-0.6
200709,58.1,1.8
200809,56.7,0.4
200909,63.3,7.0
201009,54.6,-1.7
201109,58.3,2.0
201209,58.2,1.9
201309,62,5.7
201409,57.8,1.5
201509,62,5.7
