New York, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,24.7,-5.9
189603,22.4,-8.2
189703,30.6,0.0
189803,37.8,7.2
189903,27.6,-3.0
190003,22.7,-7.9
190103,28.5,-2.1
190203,36.1,5.5
190303,39.7,9.1
190403,27.8,-2.8
190503,29.2,-1.4
190603,24.2,-6.4
190703,32.5,1.9
190803,30.8,0.2
190903,27.6,-3.0
191003,37,6.4
191103,26.7,-3.9
191203,24.9,-5.7
191303,34.3,3.7
191403,27.9,-2.7
191503,26,-4.6
191603,21.8,-8.8
191703,29.8,-0.8
191803,31.8,1.2
191903,32.8,2.2
192003,31.3,0.7
192103,39.1,8.5
192203,32.2,1.6
192303,25.8,-4.8
192403,29.2,-1.4
192503,34.6,4.0
192603,23.7,-6.9
192703,33.9,3.3
192803,28.3,-2.3
192903,35.5,4.9
193003,29.6,-1.0
193103,31.5,0.9
193203,26.1,-4.5
193303,28.7,-1.9
193403,27.7,-2.9
193503,32.6,2.0
193603,35.8,5.2
193703,24.7,-5.9
193803,34.9,4.3
193903,27.2,-3.4
194003,23.9,-6.7
194103,23.9,-6.7
194203,34.4,3.8
194303,28.9,-1.7
194403,26.4,-4.2
194503,40.7,10.1
194603,41.1,10.5
194703,28,-2.6
194803,30.8,0.2
194903,32,1.4
195003,24.5,-6.1
195103,32.2,1.6
195203,30.1,-0.5
195303,33.6,3.0
195403,30.3,-0.3
195503,30.5,-0.1
195603,25.7,-4.9
195703,32.1,1.5
195803,31.8,1.2
195903,28.6,-2.0
196003,21.5,-9.1
196103,31,0.4
196203,31,0.4
196303,31.5,0.9
196403,32.1,1.5
196503,28.1,-2.5
196603,32.3,1.7
196703,27.7,-2.9
196803,33.3,2.7
196903,28.4,-2.2
197003,27.9,-2.7
197103,27.2,-3.4
197203,27,-3.6
197303,38.7,8.1
197403,30.1,-0.5
197503,28.2,-2.4
197603,33.8,3.2
197703,36.6,6.0
197803,26.5,-4.1
197903,35.4,4.8
198003,29.3,-1.3
198103,31.8,1.2
198203,29.7,-0.9
198303,34.4,3.8
198403,24.2,-6.4
198503,33,2.4
198603,33.9,3.3
198703,34.7,4.1
198803,31.3,0.7
198903,30.3,-0.3
199003,34.5,3.9
199103,34.7,4.1
199203,27.5,-3.1
199303,27.6,-3.0
199403,29.1,-1.5
199503,35.3,4.7
199603,27.8,-2.8
199703,30.1,-0.5
199803,34.8,4.2
199903,30.1,-0.5
200003,37.9,7.3
200103,28,-2.6
200203,33.2,2.6
200303,31.7,1.1
200403,34.8,4.2
200503,27.6,-3.0
200603,31.7,1.1
200703,30.2,-0.4
200803,29.3,-1.3
200903,33.1,2.5
201003,38.2,7.6
201103,30.9,0.3
201203,43.3,12.7
201303,30.6,0.0
201403,23.7,-6.9
201503,25.4,-5.2
