Nebraska, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,66.2,-2.1
189606,68.8,0.5
189706,67.7,-0.6
189806,69.5,1.2
189906,68.6,0.3
190006,70.8,2.5
190106,69.3,1.0
190206,65.3,-3.0
190306,63.2,-5.1
190406,65.3,-3.0
190506,67.6,-0.7
190606,65.6,-2.7
190706,66.2,-2.1
190806,65.5,-2.8
190906,68.1,-0.2
191006,68.5,0.2
191106,74,5.7
191206,64.5,-3.8
191306,69.9,1.6
191406,71.3,3.0
191506,63.1,-5.2
191606,64,-4.3
191706,65.9,-2.4
191806,72.5,4.2
191906,69,0.7
192006,67.6,-0.7
192106,71.7,3.4
192206,71.1,2.8
192306,67.9,-0.4
192406,66.1,-2.2
192506,69.6,1.3
192606,67.1,-1.2
192706,65.8,-2.5
192806,61.9,-6.4
192906,66.5,-1.8
193006,67.1,-1.2
193106,74.8,6.5
193206,69,0.7
193306,76.6,8.3
193406,73.8,5.5
193506,65.5,-2.8
193606,71.7,3.4
193706,67.6,-0.7
193806,69.7,1.4
193906,69,0.7
194006,70.6,2.3
194106,67.5,-0.8
194206,66.9,-1.4
194306,68.1,-0.2
194406,68,-0.3
194506,61.3,-7.0
194606,69.7,1.4
194706,64.4,-3.9
194806,67.3,-1.0
194906,68.9,0.6
195006,68,-0.3
195106,61.9,-6.4
195206,74.2,5.9
195306,72.4,4.1
195406,70.3,2.0
195506,64.7,-3.6
195606,73.9,5.6
195706,66.6,-1.7
195806,66.5,-1.8
195906,71.7,3.4
196006,66.7,-1.6
196106,68.7,0.4
196206,66.7,-1.6
196306,72.4,4.1
196406,67.7,-0.6
196506,67.3,-1.0
196606,68.4,0.1
196706,65.2,-3.1
196806,70.1,1.8
196906,63.8,-4.5
197006,69,0.7
197106,71.6,3.3
197206,69.3,1.0
197306,69.3,1.0
197406,67.8,-0.5
197506,66.7,-1.6
197606,68.6,0.3
197706,71.8,3.5
197806,69.4,1.1
197906,67.9,-0.4
198006,71,2.7
198106,70.3,2.0
198206,63.5,-4.8
198306,66.3,-2.0
198406,69.1,0.8
198506,66.1,-2.2
198606,71.6,3.3
198706,71,2.7
198806,74.8,6.5
198906,66,-2.3
199006,71,2.7
199106,71.7,3.4
199206,65.2,-3.1
199306,65.3,-3.0
199406,71.1,2.8
199506,66.6,-1.7
199606,69.5,1.2
199706,69.4,1.1
199806,65.1,-3.2
199906,66.9,-1.4
200006,67.6,-0.7
200106,68.5,0.2
200206,73.9,5.6
200306,66.1,-2.2
200406,65.2,-3.1
200506,70.1,1.8
200606,71.9,3.6
200706,69.2,0.9
200806,67.5,-0.8
200906,66.8,-1.5
201006,69.6,1.3
201106,68.2,-0.1
201206,73.4,5.1
201306,68.8,0.5
201406,68.1,-0.2
201506,69.8,1.5
