Idaho, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,48.6,-0.7
189605,43.7,-5.6
189705,56.1,6.8
189805,49.2,-0.1
189905,44.9,-4.4
190005,51.6,2.3
190105,52.9,3.6
190205,49.4,0.1
190305,47.1,-2.2
190405,49.1,-0.2
190505,46.9,-2.4
190605,48.7,-0.6
190705,48.7,-0.6
190805,45.4,-3.9
190905,46.2,-3.1
191005,51.1,1.8
191105,46.3,-3.0
191205,47.8,-1.5
191305,50.2,0.9
191405,52.1,2.8
191505,47.4,-1.9
191605,44.1,-5.2
191705,46.1,-3.2
191805,46.8,-2.5
191905,50.5,1.2
192005,46.9,-2.4
192105,49.6,0.3
192205,47.8,-1.5
192305,49,-0.3
192405,53.3,4.0
192505,52.5,3.2
192605,50.4,1.1
192705,46.1,-3.2
192805,54.4,5.1
192905,48.2,-1.1
193005,48,-1.3
193105,51.3,2.0
193205,49.5,0.2
193305,44.8,-4.5
193405,55.5,6.2
193505,47.1,-2.2
193605,54.1,4.8
193705,51.6,2.3
193805,48,-1.3
193905,52.5,3.2
194005,53.4,4.1
194105,50.9,1.6
194205,45.9,-3.4
194305,46.6,-2.7
194405,50.3,1.0
194505,49.2,-0.1
194605,49.1,-0.2
194705,53.4,4.1
194805,49.2,-0.1
194905,52.4,3.1
195005,46.1,-3.2
195105,49.7,0.4
195205,50.6,1.3
195305,44.9,-4.4
195405,51.5,2.2
195505,46.8,-2.5
195605,51.6,2.3
195705,50.9,1.6
195805,55.7,6.4
195905,45.2,-4.1
196005,47.6,-1.7
196105,49.9,0.6
196205,47.6,-1.7
196305,51.1,1.8
196405,47.7,-1.6
196505,46.5,-2.8
196605,52.5,3.2
196705,48.3,-1.0
196805,47.7,-1.6
196905,52.9,3.6
197005,48.9,-0.4
197105,49.8,0.5
197205,50.1,0.8
197305,50.4,1.1
197405,46.8,-2.5
197505,45.6,-3.7
197605,51.1,1.8
197705,45.7,-3.6
197805,46.3,-3.0
197905,50,0.7
198005,49.2,-0.1
198105,48.1,-1.2
198205,47.1,-2.2
198305,48.2,-1.1
198405,47.7,-1.6
198505,51.4,2.1
198605,49.8,0.5
198705,53.1,3.8
198805,49.7,0.4
198905,48.5,-0.8
199005,47.3,-2.0
199105,46.5,-2.8
199205,55.3,6.0
199305,53.8,4.5
199405,52.7,3.4
199505,48.3,-1.0
199605,46.5,-2.8
199705,52.3,3.0
199805,49,-0.3
199905,46.6,-2.7
200005,50.3,1.0
200105,52.7,3.4
200205,48.7,-0.6
200305,49.9,0.6
200405,48.9,-0.4
200505,49.9,0.6
200605,51.8,2.5
200705,52,2.7
200805,48.9,-0.4
200905,50.8,1.5
201005,44.1,-5.2
201105,45.8,-3.5
201205,49,-0.3
201305,51,1.7
201405,51.6,2.3
201505,51.9,2.6
