Oklahoma, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,79.1,-2.6
189607,82.9,1.2
189707,82.9,1.2
189807,80.2,-1.5
189907,79.6,-2.1
190007,79.8,-1.9
190107,86.1,4.4
190207,79.7,-2.0
190307,81.2,-0.5
190407,79.5,-2.2
190507,77.5,-4.2
190607,76.4,-5.3
190707,80.4,-1.3
190807,77.8,-3.9
190907,83.5,1.8
191007,82.7,1.0
191107,80.8,-0.9
191207,83.1,1.4
191307,83.4,1.7
191407,84.5,2.8
191507,78.4,-3.3
191607,82.8,1.1
191707,82.9,1.2
191807,81.9,0.2
191907,81.4,-0.3
192007,80.5,-1.2
192107,80.9,-0.8
192207,81.3,-0.4
192307,82.8,1.1
192407,79.3,-2.4
192507,83.5,1.8
192607,79.2,-2.5
192707,79.9,-1.8
192807,80.5,-1.2
192907,81.1,-0.6
193007,83.6,1.9
193107,82.6,0.9
193207,83,1.3
193307,83.7,2.0
193407,87.7,6.0
193507,83.5,1.8
193607,86,4.3
193707,83.7,2.0
193807,82.1,0.4
193907,84.2,2.5
194007,80.9,-0.8
194107,81.3,-0.4
194207,81,-0.7
194307,83.7,2.0
194407,81.1,-0.6
194507,79,-2.7
194607,83.4,1.7
194707,80,-1.7
194807,81.3,-0.4
194907,82.2,0.5
195007,76.4,-5.3
195107,81.9,0.2
195207,82.2,0.5
195307,80.4,-1.3
195407,88.1,6.4
195507,83.6,1.9
195607,83.8,2.1
195707,84.3,2.6
195807,80.6,-1.1
195907,78.2,-3.5
196007,79.2,-2.5
196107,78.9,-2.8
196207,81.2,-0.5
196307,83.4,1.7
196407,84.6,2.9
196507,82.6,0.9
196607,84.7,3.0
196707,78,-3.7
196807,79.3,-2.4
196907,84.6,2.9
197007,81.8,0.1
197107,80.9,-0.8
197207,79.5,-2.2
197307,80.2,-1.5
197407,83.1,1.4
197507,79.2,-2.5
197607,79.1,-2.6
197707,83.5,1.8
197807,85.6,3.9
197907,80.7,-1.0
198007,87.4,5.7
198107,83.3,1.6
198207,81.2,-0.5
198307,81.9,0.2
198407,81.2,-0.5
198507,81.1,-0.6
198607,84.2,2.5
198707,79.4,-2.3
198807,81,-0.7
198907,78.8,-2.9
199007,79.7,-2.0
199107,81.6,-0.1
199207,79.7,-2.0
199307,83.4,1.7
199407,79.6,-2.1
199507,81.1,-0.6
199607,80.8,-0.9
199707,81.5,-0.2
199807,85.9,4.2
199907,82.2,0.5
200007,81,-0.7
200107,85.6,3.9
200207,80.6,-1.1
200307,83.3,1.6
200407,78,-3.7
200507,80.3,-1.4
200607,83.9,2.2
200707,78.7,-3.0
200807,81.7,0.0
200907,80.8,-0.9
201007,81.9,0.2
201107,89.2,7.5
201207,85.9,4.2
201307,79.6,-2.1
201407,77.8,-3.9
201507,82.1,0.4
