North Dakota, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,23.5,-1.3
189603,15,-9.8
189703,10.9,-13.9
189803,19.9,-4.9
189903,7,-17.8
190003,20.4,-4.4
190103,25.4,0.6
190203,25.9,1.1
190303,21.2,-3.6
190403,16.7,-8.1
190503,32.6,7.8
190603,17.9,-6.9
190703,23.5,-1.3
190803,20.3,-4.5
190903,23.8,-1.0
191003,40.4,15.6
191103,30.4,5.6
191203,14.3,-10.5
191303,16.7,-8.1
191403,25.4,0.6
191503,22.4,-2.4
191603,20.6,-4.2
191703,21.5,-3.3
191803,34.4,9.6
191903,17.2,-7.6
192003,22.4,-2.4
192103,24.9,0.1
192203,25.3,0.5
192303,17.6,-7.2
192403,24.9,0.1
192503,27.2,2.4
192603,25.6,0.8
192703,29.7,4.9
192803,28,3.2
192903,29.8,5.0
193003,25.5,0.7
193103,25.2,0.4
193203,18.3,-6.5
193303,28.2,3.4
193403,25.9,1.1
193503,25.7,0.9
193603,24.8,0.0
193703,24.4,-0.4
193803,32.4,7.6
193903,23.1,-1.7
194003,22.7,-2.1
194103,24.1,-0.7
194203,29.4,4.6
194303,16.6,-8.2
194403,16.2,-8.6
194503,33,8.2
194603,34.5,9.7
194703,21.8,-3.0
194803,17.1,-7.7
194903,21.2,-3.6
195003,18.4,-6.4
195103,11.7,-13.1
195203,17.4,-7.4
195303,25.6,0.8
195403,22.3,-2.5
195503,18.4,-6.4
195603,21.2,-3.6
195703,26.2,1.4
195803,25.8,1.0
195903,30.9,6.1
196003,16.7,-8.1
196103,32,7.2
196203,20.5,-4.3
196303,32.4,7.6
196403,19.4,-5.4
196503,13.7,-11.1
196603,30.3,5.5
196703,25.3,0.5
196803,33.5,8.7
196903,16.8,-8.0
197003,17.6,-7.2
197103,25,0.2
197203,24.2,-0.6
197303,35.5,10.7
197403,22.6,-2.2
197503,19.8,-5.0
197603,23.3,-1.5
197703,32.3,7.5
197803,24.7,-0.1
197903,20.7,-4.1
198003,21.9,-2.9
198103,34.3,9.5
198203,22.4,-2.4
198303,27.5,2.7
198403,23.8,-1.0
198503,31.6,6.8
198603,35.5,10.7
198703,27.9,3.1
198803,29.4,4.6
198903,20.4,-4.4
199003,31.9,7.1
199103,30.1,5.3
199203,33.3,8.5
199303,28.2,3.4
199403,30.8,6.0
199503,24.9,0.1
199603,17.3,-7.5
199703,22.5,-2.3
199803,21.8,-3.0
199903,31.2,6.4
200003,35.1,10.3
200103,27.1,2.3
200203,16.3,-8.5
200303,22.8,-2.0
200403,30.4,5.6
200503,28.9,4.1
200603,27.5,2.7
200703,32.6,7.8
200803,26.5,1.7
200903,20,-4.8
201003,31.6,6.8
201103,19.2,-5.6
201203,40.6,15.8
201303,17.6,-7.2
201403,22.7,-2.1
201503,33.1,8.3
