Rhode Island, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,66.7,2.0
189606,63.3,-1.4
189706,60.9,-3.8
189806,64.5,-0.2
189906,67.2,2.5
190006,65.2,0.5
190106,65.2,0.5
190206,62.5,-2.2
190306,58.6,-6.1
190406,62.1,-2.6
190506,62.7,-2.0
190606,64.2,-0.5
190706,61.1,-3.6
190806,65.8,1.1
190906,65.1,0.4
191006,62.8,-1.9
191106,63.5,-1.2
191206,63.9,-0.8
191306,63.4,-1.3
191406,63.6,-1.1
191506,62.2,-2.5
191606,60.9,-3.8
191706,64,-0.7
191806,61.7,-3.0
191906,65.2,0.5
192006,62.4,-2.3
192106,64.9,0.2
192206,66.1,1.4
192306,65.9,1.2
192406,62.2,-2.5
192506,67.7,3.0
192606,60.3,-4.4
192706,61.3,-3.4
192806,62.1,-2.6
192906,65.1,0.4
193006,69,4.3
193106,64.4,-0.3
193206,63.5,-1.2
193306,65.6,0.9
193406,65.9,1.2
193506,63.5,-1.2
193606,64.4,-0.3
193706,65,0.3
193806,64,-0.7
193906,63.8,-0.9
194006,63,-1.7
194106,65,0.3
194206,65.1,0.4
194306,68.5,3.8
194406,65.3,0.6
194506,64.7,0.0
194606,64.2,-0.5
194706,61.8,-2.9
194806,62.4,-2.3
194906,67.9,3.2
195006,64.4,-0.3
195106,63.6,-1.1
195206,67.1,2.4
195306,66.7,2.0
195406,65.2,0.5
195506,63.7,-1.0
195606,65.7,1.0
195706,68.5,3.8
195806,61.1,-3.6
195906,63.4,-1.3
196006,65.7,1.0
196106,65.5,0.8
196206,65.1,0.4
196306,65.6,0.9
196406,64.5,-0.2
196506,64.4,-0.3
196606,66,1.3
196706,64.9,0.2
196806,63.7,-1.0
196906,66,1.3
197006,64.2,-0.5
197106,66.3,1.6
197206,63.1,-1.6
197306,68,3.3
197406,64,-0.7
197506,64.9,0.2
197606,67.9,3.2
197706,64.2,-0.5
197806,65.4,0.7
197906,64,-0.7
198006,63.2,-1.5
198106,66.9,2.2
198206,61.9,-2.8
198306,67.3,2.6
198406,67.4,2.7
198506,62.4,-2.3
198606,64,-0.7
198706,66.5,1.8
198806,64.8,0.1
198906,66.9,2.2
199006,65.9,1.2
199106,67.1,2.4
199206,64.7,0.0
199306,66.3,1.6
199406,68,3.3
199506,66.2,1.5
199606,66.6,1.9
199706,66,1.3
199806,64.9,0.2
199906,68.6,3.9
200006,66.2,1.5
200106,68.9,4.2
200206,64.7,0.0
200306,64.2,-0.5
200406,64.9,0.2
200506,68.1,3.4
200606,67.1,2.4
200706,66.5,1.8
200806,69,4.3
200906,63.5,-1.2
201006,68.9,4.2
201106,66.2,1.5
201206,65.7,1.0
201306,68,3.3
201406,66.4,1.7
201506,64.6,-0.1
