Kentucky, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189511,44.6,-0.7
189611,48.1,2.8
189711,46.4,1.1
189811,41.7,-3.6
189911,48.3,3.0
190011,45.8,0.5
190111,40.1,-5.2
190211,52.4,7.1
190311,41,-4.3
190411,43.5,-1.8
190511,45,-0.3
190611,44.6,-0.7
190711,42.6,-2.7
190811,47,1.7
190911,52.9,7.6
191011,40.1,-5.2
191111,40.7,-4.6
191211,43.9,-1.4
191311,48.7,3.4
191411,45.2,-0.1
191511,48.5,3.2
191611,46.5,1.2
191711,43,-2.3
191811,44.5,-0.8
191911,46,0.7
192011,43.1,-2.2
192111,48.2,2.9
192211,46.6,1.3
192311,44.9,-0.4
192411,46,0.7
192511,43.3,-2.0
192611,41.2,-4.1
192711,49.8,4.5
192811,45.3,0.0
192911,43.2,-2.1
193011,45.2,-0.1
193111,53.4,8.1
193211,42.5,-2.8
193311,44.1,-1.2
193411,48.7,3.4
193511,46,0.7
193611,41.6,-3.7
193711,41.7,-3.6
193811,46.7,1.4
193911,42.2,-3.1
194011,44.4,-0.9
194111,45,-0.3
194211,48,2.7
194311,43.1,-2.2
194411,44.8,-0.5
194511,46.8,1.5
194611,49.8,4.5
194711,43.1,-2.2
194811,48.3,3.0
194911,44.2,-1.1
195011,39.4,-5.9
195111,39,-6.3
195211,45,-0.3
195311,44.3,-1.0
195411,43.9,-1.4
195511,42.6,-2.7
195611,44,-1.3
195711,45,-0.3
195811,47.1,1.8
195911,42,-3.3
196011,45.2,-0.1
196111,45.8,0.5
196211,43.8,-1.5
196311,46.5,1.2
196411,48.6,3.3
196511,47.6,2.3
196611,46.2,0.9
196711,41.2,-4.1
196811,45.8,0.5
196911,41.7,-3.6
197011,44.6,-0.7
197111,45.7,0.4
197211,43.2,-2.1
197311,48.3,3.0
197411,46.2,0.9
197511,48.5,3.2
197611,37.5,-7.8
197711,47.9,2.6
197811,48.9,3.6
197911,45.7,0.4
198011,43.7,-1.6
198111,46.4,1.1
198211,47.8,2.5
198311,46.7,1.4
198411,43,-2.3
198511,53,7.7
198611,45.8,0.5
198711,49.3,4.0
198811,46.7,1.4
198911,45.7,0.4
199011,49.8,4.5
199111,43.8,-1.5
199211,46.1,0.8
199311,44.4,-0.9
199411,50.7,5.4
199511,40.6,-4.7
199611,41,-4.3
199711,42.2,-3.1
199811,48.3,3.0
199911,51.3,6.0
200011,44.2,-1.1
200111,51.2,5.9
200211,43.7,-1.6
200311,50.5,5.2
200411,50.5,5.2
200511,48.3,3.0
200611,47.3,2.0
200711,46,0.7
200811,43.3,-2.0
200911,49.2,3.9
201011,47.1,1.8
201111,49.9,4.6
201211,43.2,-2.1
201311,42.8,-2.5
201411,39.8,-5.5
201511,50.9,5.6
