Arizona, Heating Degree Days, November
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189511,336,48
189611,290,2
189711,258,-30
189811,331,43
189911,254,-34
190011,236,-52
190111,214,-74
190211,322,34
190311,234,-54
190411,277,-11
190511,293,5
190611,325,37
190711,285,-3
190811,249,-39
190911,279,-9
191011,250,-38
191111,350,62
191211,294,6
191311,229,-59
191411,187,-101
191511,297,9
191611,349,61
191711,223,-65
191811,348,60
191911,337,49
192011,314,26
192111,253,-35
192211,411,123
192311,309,21
192411,259,-29
192511,342,54
192611,251,-37
192711,203,-85
192811,302,14
192911,371,83
193011,309,21
193111,375,87
193211,236,-52
193311,236,-52
193411,265,-23
193511,372,84
193611,274,-14
193711,251,-37
193811,411,123
193911,211,-77
194011,344,56
194111,261,-27
194211,213,-75
194311,263,-25
194411,365,77
194511,313,25
194611,405,117
194711,416,128
194811,419,131
194911,171,-117
195011,191,-97
195111,314,26
195211,375,87
195311,235,-53
195411,200,-88
195511,287,-1
195611,346,58
195711,401,113
195811,285,-3
195911,267,-21
196011,259,-29
196111,366,78
196211,195,-93
196311,260,-28
196411,381,93
196511,200,-88
196611,228,-60
196711,193,-95
196811,289,1
196911,268,-20
197011,257,-31
197111,320,32
197211,410,122
197311,289,1
197411,292,4
197511,291,3
197611,265,-23
197711,217,-71
197811,285,-3
197911,353,65
198011,246,-42
198111,209,-79
198211,305,17
198311,290,2
198411,302,14
198511,319,31
198611,265,-23
198711,297,9
198811,265,-23
198911,229,-59
199011,238,-50
199111,286,-2
199211,371,83
199311,325,37
199411,373,85
199511,158,-130
199611,227,-61
199711,237,-51
199811,250,-38
199911,151,-137
200011,445,157
200111,185,-103
200211,217,-71
200311,294,6
200411,343,55
200511,198,-90
200611,191,-97
200711,143,-145
200811,188,-100
200911,186,-102
201011,298,10
201111,277,-11
201211,173,-115
201311,218,-70
201411,223,-65
201511,305,17
