North Carolina, Heating Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,0,0
189608,0,0
189708,0,0
189808,0,0
189908,0,0
190008,0,0
190108,0,0
190208,0,0
190308,0,0
190408,0,0
190508,1,1
190608,0,0
190708,0,0
190808,0,0
190908,0,0
191008,0,0
191108,0,0
191208,1,1
191308,0,0
191408,0,0
191508,1,1
191608,0,0
191708,1,1
191808,0,0
191908,0,0
192008,1,1
192108,0,0
192208,1,1
192308,0,0
192408,0,0
192508,0,0
192608,0,0
192708,1,1
192808,0,0
192908,0,0
193008,1,1
193108,0,0
193208,0,0
193308,0,0
193408,0,0
193508,0,0
193608,0,0
193708,0,0
193808,0,0
193908,0,0
194008,0,0
194108,0,0
194208,0,0
194308,0,0
194408,0,0
194508,0,0
194608,1,1
194708,0,0
194808,0,0
194908,0,0
195008,1,1
195108,0,0
195208,0,0
195308,0,0
195408,0,0
195508,0,0
195608,0,0
195708,1,1
195808,0,0
195908,0,0
196008,0,0
196108,0,0
196208,0,0
196308,0,0
196408,1,1
196508,0,0
196608,0,0
196708,2,2
196808,0,0
196908,1,1
197008,0,0
197108,0,0
197208,0,0
197308,0,0
197408,1,1
197508,0,0
197608,1,1
197708,0,0
197808,0,0
197908,0,0
198008,0,0
198108,1,1
198208,1,1
198308,0,0
198408,0,0
198508,1,1
198608,1,1
198708,0,0
198808,0,0
198908,0,0
199008,0,0
199108,0,0
199208,2,2
199308,0,0
199408,1,1
199508,0,0
199608,0,0
199708,1,1
199808,0,0
199908,0,0
200008,0,0
200108,0,0
200208,0,0
200308,0,0
200408,1,1
200508,0,0
200608,0,0
200708,0,0
200808,0,0
200908,0,0
201008,0,0
201108,0,0
201208,0,0
201308,1,1
201408,1,1
201508,0,0
