Montana, Cooling Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,0,0
189602,0,0
189702,0,0
189802,0,0
189902,0,0
190002,0,0
190102,0,0
190202,0,0
190302,0,0
190402,0,0
190502,0,0
190602,0,0
190702,0,0
190802,0,0
190902,0,0
191002,0,0
191102,0,0
191202,0,0
191302,0,0
191402,0,0
191502,0,0
191602,0,0
191702,0,0
191802,0,0
191902,0,0
192002,0,0
192102,0,0
192202,0,0
192302,0,0
192402,0,0
192502,0,0
192602,1,1
192702,0,0
192802,0,0
192902,0,0
193002,1,1
193102,2,2
193202,0,0
193302,0,0
193402,0,0
193502,0,0
193602,0,0
193702,0,0
193802,0,0
193902,0,0
194002,0,0
194102,0,0
194202,0,0
194302,0,0
194402,0,0
194502,0,0
194602,0,0
194702,0,0
194802,0,0
194902,0,0
195002,0,0
195102,0,0
195202,0,0
195302,0,0
195402,3,3
195502,0,0
195602,0,0
195702,0,0
195802,0,0
195902,0,0
196002,0,0
196102,0,0
196202,0,0
196302,1,1
196402,1,1
196502,0,0
196602,0,0
196702,0,0
196802,0,0
196902,0,0
197002,0,0
197102,0,0
197202,0,0
197302,0,0
197402,0,0
197502,0,0
197602,0,0
197702,1,1
197802,0,0
197902,0,0
198002,0,0
198102,0,0
198202,0,0
198302,1,1
198402,2,2
198502,0,0
198602,0,0
198702,1,1
198802,0,0
198902,0,0
199002,0,0
199102,4,4
199202,2,2
199302,0,0
199402,0,0
199502,0,0
199602,0,0
199702,0,0
199802,2,2
199902,1,1
200002,0,0
200102,0,0
200202,0,0
200302,0,0
200402,0,0
200502,0,0
200602,0,0
200702,0,0
200802,0,0
200902,0,0
201002,0,0
201102,0,0
201202,0,0
201302,0,0
201402,0,0
201502,0,0
