North Carolina, Cooling Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,0,0
189602,0,0
189702,0,0
189802,0,0
189902,0,0
190002,0,0
190102,0,0
190202,0,0
190302,0,0
190402,0,0
190502,0,0
190602,0,0
190702,0,0
190802,0,0
190902,1,1
191002,0,0
191102,0,0
191202,0,0
191302,0,0
191402,0,0
191502,0,0
191602,0,0
191702,0,0
191802,0,0
191902,0,0
192002,0,0
192102,0,0
192202,1,1
192302,0,0
192402,0,0
192502,2,2
192602,0,0
192702,6,6
192802,0,0
192902,0,0
193002,1,1
193102,0,0
193202,3,3
193302,0,0
193402,0,0
193502,0,0
193602,0,0
193702,0,0
193802,1,1
193902,2,2
194002,0,0
194102,0,0
194202,0,0
194302,0,0
194402,0,0
194502,0,0
194602,0,0
194702,0,0
194802,0,0
194902,2,2
195002,1,1
195102,0,0
195202,0,0
195302,0,0
195402,1,1
195502,0,0
195602,1,1
195702,1,1
195802,0,0
195902,0,0
196002,0,0
196102,0,0
196202,0,0
196302,0,0
196402,0,0
196502,0,0
196602,0,0
196702,0,0
196802,0,0
196902,0,0
197002,0,0
197102,0,0
197202,0,0
197302,0,0
197402,0,0
197502,1,1
197602,4,4
197702,0,0
197802,0,0
197902,0,0
198002,0,0
198102,0,0
198202,1,1
198302,0,0
198402,1,1
198502,0,0
198602,1,1
198702,0,0
198802,0,0
198902,0,0
199002,4,4
199102,0,0
199202,1,1
199302,0,0
199402,0,0
199502,0,0
199602,0,0
199702,1,1
199802,0,0
199902,0,0
200002,0,0
200102,1,1
200202,0,0
200302,0,0
200402,0,0
200502,0,0
200602,0,0
200702,0,0
200802,1,1
200902,0,0
201002,0,0
201102,1,1
201202,0,0
201302,0,0
201402,0,0
201502,0,0
